"#experimentId"	"experimentName"	"experimentDescription"	"experimentSource"	"experimentStatus"	"RNAseqTags"	"numberOfAnnotatedLibraries"	"protocol"	"protocolType"	"GSE"	"Bioproject"	"PMID"	"PMID_url"	"comment"
"ERP139439"	"The human gastrointestinal tract through space and time- Adult GEX"	"Using single-cell RNAseq (scRNAseq) and paired VDJ analysis, we create the first comprehensive cell atlas of the healthy developing, paediatric and adult human gut, including 347,980 cells from up to 10 distinct anatomical sites. We use this data to trace the cellular composition of the gut throughout life, define novel cell markers and cell-cell interactions. We find four neuronal cell populations in the developing enteric nervous system, with expression patterns indicative of irritable bowel syndrome and Hirschsprung's disease, and identify key cell players and communication networks initiating lymphoid structure formation in early human development."	"EBI"	"total"	"scRNA-seq"	"64 libraries"	"10X Genomics"	"5'end"					"PRJEB54608, E-MTAB-9543, PMID: 34497389, part of Gut Cell Atlas"
"ERP123883"	"The human gastrointestinal tract through space and time- Fetal GEX"	"Using single-cell RNAseq (scRNAseq) and paired VDJ analysis, we create the first comprehensive cell atlas of the healthy developing, paediatric and adult human gut, including 347,980 cells from up to 10 distinct anatomical sites. We use this data to trace the cellular composition of the gut throughout life, define novel cell markers and cell-cell interactions. We find four neuronal cell populations in the developing enteric nervous system, with expression patterns indicative of irritable bowel syndrome and Hirschsprung's disease, and identify key cell players and communication networks initiating lymphoid structure formation in early human development."	"EBI"	"total"	"scRNA-seq"	"21 libraries"	"10X Genomics"	"5'end"					"PRJEB40265, PMID: 34497389, E-MTAB-9536, part of Gut Cell Atlas"
"ERP118125"	"GEX: Single-cell RNA sequencing of human steady-state immune cells from the lamina propria of colon and matching mesenteric lymph nodes"	"The human colon contains an extensively diverse microbial ecosystem and one of the most numerous communities of immune cells. Studies have highlighted dynamic crosstalk between immune cells and commensals. While studies have demonstrated increasing diversity of microbiota from stomach to stool, whether and how immune cell heterogeneity and microbiota diversity change across the colon is undefined. Furthermore, whether these changes are co-depended in the healthy colon is unknown. Here, tissue samples are collected from caecum, transverse colon, sigmoid colon and mLN of cadaveric donors by the Cambridge Biorepository of Translational Medicine (CBTM). We use single cell RNA sequencing (10X genomics) to assess the dynamics of immune cell populations across the colon and in matching lymph nodes. Associated microbiome 16S sequencing data is available."	"EBI"	"partial"	"scRNA-seq"	"4 libraries"	"10X Genomics"	"5'end"					"PRJEB35119, E-MTAB-8474, PMID: 32066951, in HCA, part of Gut Cell Atlas, 4 libraries annotated in ERP139439"
"ERP115651"	"Single-cell RNA sequencing of human steady-state immune cells from the lamina propria of colon and matching mesenteric lymph nodes"	"The human colon contains an extensively diverse microbial ecosystem and one of the most numerous communities of immune cells. Studies have highlighted dynamic crosstalk between immune cells and commensals. While studies have demonstrated increasing diversity of microbiota from stomach to stool, whether and how immune cell heterogeneity and microbiota diversity change across the colon is undefined. Furthermore, whether these changes are co-depended in the healthy colon is unknown. Here, tissue samples are collected from caecum, transverse colon, sigmoid colon and mLN of cadaveric donors by the Cambridge Biorepository of Translational Medicine (CBTM). We use single cell RNA sequencing (10X genomics) to assess the dynamics of immune cell populations across the colon and in matching lymph nodes. Associated microbiome 16S sequencing data is available."	"EBI"	"total"	"scRNA-seq"	"24 libraries"	"10X Genomics"	"3'end"					"PRJEB32912, E-MTAB-8007, PMID: 32066951, in HCA, part of Gut Cell Atlas"
"ERP111594"	"Single cell RNA-seq of adult human neural retina"	"To comprehensively profile cell types in the human retina, we performed single cell RNA-sequencing on 20,009 cells obtained post-mortem from three donors and compiled a reference transcriptome atlas. Using unsupervised clustering analysis, we identified 18 transcriptionally distinct clusters representing all known retinal cells: rod photoreceptors, cone photoreceptors, Muller glia cells, bipolar cells, amacrine cells, retinal ganglion cells, horizontal cells, retinal astrocytes and microglia."	"EBI"	"total"	"scRNA-seq"	"5 libraries"	"10X Genomics"	"3'end"					"PRJEB29298, E-MTAB-7316, PMID: 31436334"
"SRP135922"	"Single cell RNA-seq analysis on human endometrium across the natural menstrual cycle"	"To unbiasedly and systematically characterize endometrial transformation across the human menstrual cycle in preparation for embryo implantation, we analyzed the transcriptomic transformation of human endometrium at single cell resolution, dissecting multidimensional cellular heterogeneity of the tissue across the entire natural menstrual cycle. Overall design: We collected single cell transcriptome profile of endometrium biopsies sampled from 19 healthy and fertile females, at 4-27 days of their menstrual cycle. [10x dataset] - collected to validate main findings drawn from the original C1 dataset of this study. In this dataset, we collected additional data from 10 endometrial biopsies using the 10x Chromium system. Importantly, we collected both C1 and 10x data for two biopsies, one from mid-secretory phase and the other early-secretory. They served as anchors for a direct comparison between the two datasets, and were referred as ?anchor biopsies? in the manuscript of this study. Biopsies in the 10x dataset were obtained following the same protocol used for the C1 dataset, as described in the manuscript."	"SRA"	"total"	"scRNA-seq"	"2158 libraries"	"C1 autoprep, 10X Genomics"	"Full-length, 3'end"					"GSE111976,PRJNA438770,PMID: 34329437, in HCA"
"SRP337049"	"scRNA sequencing analysis for human ureters and patient derived ureter oragnoid"	"Tissue engineering offers a promising treatment strategy for ureteral strictures. Successful ureter engineering is necessitated by detailed understanding of the tissue architecture, cellular heterogeneity, and signaling pathways underlying regeneration. We define and spatially map cell populations within the human ureter by using a combinatorial approach: single-cell RNA sequencing, 10X Visium spatial transciptomics, and immunofluorescence. The stromal and urothelial cell populations are analyzed in detail, and we infer potential cell-cell communication networks underpinning the bi-directional crosstalk between these compartments. Specifically, we analyze and experimentally validate the importance of Sonic Hedgehog (SHH) signaling pathway in adult stem cell maintenance. The SHH-expressing basal cells support organoid generation in vitro, and accurately predict the differentiation trajectory of basal stem cells, to terminally differentiated umbrella cells, in vivo. Our results highlight essential processes involved in adult ureter tissue homeostasis, and provide a toolkit for guiding ureter tissue engineering. Overall design: 10 normal human ureters each were subjected to RNA sequencing at single cell resolution on Novaseq using 10X Gemonics library preparation platform. Data was processed using Cellranger 4.0.0 and anayzed using Seurat v3.2.1 to characterize various cell types and understand finer details of the regenrative pathways in the ureter urothelium. This was further explored by analyzing single cell RNA sequencing data from human ureter derived organoid (generated in the same manner as the 10 ureter samples). Freshly processed and thawed tissue sample from the same human subject was used as control to further understand the urothelial regenerative pathways."	"SRA"	"partial"	"scRNA-seq"	"11 libraries"	"10X Genomics"	"3'end"					"GSE184111,PRJNA763198,PMID: 35914526, in HCA (one organoid library excluded)"
"ERP136992"	"A spatial multi-omics atlas of the human lung reveals a novel immune cell survival niche"	"Multiple distinct cell types of the human lung and airways have been defined by single cell RNA sequencing (scRNAseq). Here we present a multi-omics spatial lung atlas to define novel cell types which we map back into the macro- and micro-anatomical tissue context to define functional tissue microenvironments. Firstly, we have generated single cell and nuclei RNA sequencing, VDJ-sequencing and Visium Spatial Transcriptomics data sets from 5 different locations of the human lung and airways. Secondly, we define additional cell types/states, as well as spatially map novel and known human airway cell types, such as adult lung chondrocytes, submucosal gland (SMG) duct cells, distinct pericyte and smooth muscle subtypes, immune-recruiting fibroblasts, peribronchial and perichondrial fibroblasts, peripheral nerve associated fibroblasts and Schwann cells. Finally, we define a survival niche for IgA-secreting plasma cells at the SMG, comprising the newly defined epithelial SMG-Duct cells, and B and T lineage immune cells. Using our transcriptomic data for cell-cell interaction analysis, we propose a signalling circuit that establishes and supports this niche. Overall, we provide a transcriptional and spatial lung atlas with multiple novel cell types that allows for the study of specific tissue microenvironments such as the newly defined gland-associated lymphoid niche (GALN)."	"EBI"	"partial"	"Sn-scRNA-seq, scRNA-seq"	"75 libraries"	"10X Genomics"	"3'end, 5'end"					"PRJEB52292, PMID: 36543915 (partial because of VDJ and libraries without barcodes), FASTQ in EBI not NCBI"
"SRP343046"	"Transcriptomic Taxonomy and Neurogenic Trajectories of Adult Human, Macaque and Pig Hippocampal and Entorhinal Cells"	"The hippocampal-entorhinal system supports cognitive functions, has lifelong neurogenic capabilities in many species, and is selectively vulnerable to Alzheimer's disease. To investigate neurogenic potential and cellular diversity, we profiled single-nucleus transcriptomes in five hippocampal-entorhinal subregions in human, macaque, and pig. Integrated cross-species analysis revealed robust transcriptomic and histologic signatures of neurogenesis in adult mouse, pig and macaque, but not humans. Doublecortin (DCX), a widely accepted marker of newly generated granule cells, was detected in diverse human neurons, but it did not define immature neuron populations. To explore species differences in cellular diversity and implications for disease, we characterized subregion-specific transcriptomically-defined cell types and transitional changes from the three-layered archicortex to the six-layered neocortex. Notably, METTL7B defined subregion-specific excitatory neurons and astrocytes in primates, associated with endoplasmic reticulum and lipid droplet proteins, including Alzheimer's disease-related proteins. Together this resource reveals cell-type- and species-specific properties shaping hippocampal-entorhinal neurogenesis and function. Overall design: snRNA-seq of hippocampal-entorhinal system in 6 human donors, dentate gyrus in 3 rhesus macaque donors, and adult hippocampus in 9 pig donors with different postmortem intervals (30 minutes, 1 hour, 7 hour)"	"SRA"	"partial"	"Sn-scRNA-seq"	"50 libraries but only 34 have barcodes"	"10X Genomics V3"	"3'end"					"PMID:34798047, PRJNA774338, GSE186538 (partial because over the total 50 reported libraries, only 34 have barcodes)"
"SRP372346"	"Cross-species single-nuclei transcriptome atlas of dorsal root ganglion sensory neurons [humanDRG]"	"Sensory neurons of the dorsal root ganglion (DRG) play a crucial role in maintaining tissue homeostasis by sensing and initiating responses to stimuli. While most preclinical studies of DRGs are conducted in rodents, much less is known about the mechanisms of sensory perception in primates. We generated a transcriptome atlas for mouse, guinea pig, cynomolgus monkey, and human DRGs using a framework that implements a common laboratory workflow (i.e sequencing technologies, laboratory protocols, and sample archival methods) and multiple data-integration approaches to generate accurate cross-species mappings of sensory neuron subtypes. Overall design: Fresh or frozen DRG tissues from mouse, guinea pig, cynomologus monkey and human were collected and nuclei were isolated with FACS or density-gradient centrifugation and analyzed with snRNA-seq."	"SRA"	"total"	"Sn-scRNA-seq"	"18 libraries"	"10X Genomics V3"	"3'end"					"PMID: 36690629, PRJNA832265, GSE201586"
"ERP132584"	"snRNA-seq of human (Homo sapiens) adult testis"	"Single-nucleus RNA sequencing (snRNA-seq) was used to profile the transcriptome of 16,015 nuclei in human adult testis. This dataset includes five samples from two different individuals. This dataset is part of a larger evolutionary study of adult testis at the single-nucleus level (97,521 single-nuclei in total) across mammals including 10 representatives of the three main mammalian lineages: human, chimpanzee, bonobo, gorilla, gibbon, rhesus macaque, marmoset, mouse (placental mammals); grey short-tailed opossum (marsupials); and platypus (egg-laying monotremes). Corresponding data were generated for a bird (red junglefowl, the progenitor of domestic chicken), to be used as an evolutionary outgroup."	"EBI"	"total"	"Sn-scRNA-seq"	"5 libraries"	"10X Genomics V2, 10X Genomics"	"3'end"					"PMID: 36544022, PRJEB48242, E-MTAB-11063"
"ERP132577"	"snRNA-seq of mouse (Mus musculus) adult testis"	"Single-nucleus RNA sequencing (snRNA-seq) was used to profile the transcriptome of 5,264 nuclei in mouse adult testis. This dataset includes two samples from two different individuals. This dataset is part of a larger evolutionary study of adult testis at the single-nucleus level (97,521 single-nuclei in total) across mammals including 10 representatives of the three main mammalian lineages: human, chimpanzee, bonobo, gorilla, gibbon, rhesus macaque, marmoset, mouse (placental mammals); grey short-tailed opossum (marsupials); and platypus (egg-laying monotremes). Corresponding data were generated for a bird (red junglefowl, the progenitor of domestic chicken), to be used as an evolutionary outgroup."	"EBI"	"total"	"Sn-scRNA-seq"	"2 libraries"	"10X Genomics V2, 10X Genomics"	"3'end"					"PMID: 36544022, PRJEB48235, E-MTAB-11071"
"ERP132583"	"snRNA-seq of chimpanzee (Pan troglodytes) adult testis"	"Single-nucleus RNA sequencing (snRNA-seq) was used to profile the transcriptome of 12,352 nuclei in chimpanzee adult testis. This dataset includes three samples from three different individuals. This dataset is part of a larger evolutionary study of adult testis at the single-nucleus level (97,521 single-nuclei in total) across mammals including 10 representatives of the three main mammalian lineages: human, chimpanzee, bonobo, gorilla, gibbon, rhesus macaque, marmoset, mouse (placental mammals); grey short-tailed opossum (marsupials); and platypus (egg-laying monotremes). Corresponding data were generated for a bird (red junglefowl, the progenitor of domestic chicken), to be used as an evolutionary outgroup."	"EBI"	"total"	"Sn-scRNA-seq"	"3 libraries"	"10X Genomics V2, 10X Genomics"	"3'end"					"PMID: 36544022, PRJEB48241, E-MTAB-11064"
"ERP132581"	"snRNA-seq of gorilla (Gorilla gorilla) adult testis"	"Single-nucleus RNA sequencing (snRNA-seq) was used to profile the transcriptome of 7,359 nuclei in gorilla adult testis. This dataset includes three samples from three different individuals. This dataset is part of a larger evolutionary study of adult testis at the single-nucleus level (97,521 single-nuclei in total) across mammals including 10 representatives of the three main mammalian lineages: human, chimpanzee, bonobo, gorilla, gibbon, rhesus macaque, marmoset, mouse (placental mammals); grey short-tailed opossum (marsupials); and platypus (egg-laying monotremes). Corresponding data were generated for a bird (red junglefowl, the progenitor of domestic chicken), to be used as an evolutionary outgroup."	"EBI"	"total"	"Sn-scRNA-seq"	"2 libraries"	"10X Genomics V2, 10X Genomics"	"3'end"					"PMID: 36544022, PRJEB48239, E-MTAB-11065"
"ERP132582"	"snRNA-seq of macaque (macaca mulatta) adult testis"	"Single-nucleus RNA sequencing (snRNA-seq) was used to profile the transcriptome of 7,631 nuclei in macaque adult testis. This dataset includes two samples from two different individuals. This dataset is part of a larger evolutionary study of adult testis at the single-nucleus level (97,521 single-nuclei in total) across mammals including 10 representatives of the three main mammalian lineages: human, chimpanzee, bonobo, gorilla, gibbon, rhesus macaque, marmoset, mouse (placental mammals); grey short-tailed opossum (marsupials); and platypus (egg-laying monotremes). Corresponding data were generated for a bird (red junglefowl, the progenitor of domestic chicken), to be used as an evolutionary outgroup."	"EBI"	"total"	"Sn-scRNA-seq"	"2 libraries"	"10X Genomics V2, 10X Genomics"	"3'end"					"PMID: 36544022, PRJEB48240, E-MTAB-11068"
"ERP132588"	"snRNA-seq of marmoset (Callithrix jacchus) adult testis"	"Single-nucleus RNA sequencing (snRNA-seq) was used to profile the transcriptome of 7,318 nuclei in marmoset adult testis. This dataset includes two samples from two different individuals. This dataset is part of a larger evolutionary study of adult testis at the single-nucleus level (97,521 single-nuclei in total) across mammals including 10 representatives of the three main mammalian lineages: human, chimpanzee, bonobo, gorilla, gibbon, rhesus macaque, marmoset, mouse (placental mammals); grey short-tailed opossum (marsupials); and platypus (egg-laying monotremes). Corresponding data were generated for a bird (red junglefowl, the progenitor of domestic chicken), to be used as an evolutionary outgroup."	"EBI"	"total"	"Sn-scRNA-seq"	"2 libraries"	"10X Genomics V2, 10X Genomics"	"3'end"					"PMID: 36544022, PRJEB48246, E-MTAB-11069"
"ERP132579"	"snRNA-seq of opossum (Monodelphis domestica) adult testis"	"Single-nucleus RNA sequencing (snRNA-seq) was used to profile the transcriptome of 9,926 nuclei in opossum adult testis. This dataset includes three samples from three different individuals. This dataset is part of a larger evolutionary study of adult testis at the single-nucleus level (97,521 single-nuclei in total) across mammals including 10 representatives of the three main mammalian lineages: human, chimpanzee, bonobo, gorilla, gibbon, rhesus macaque, marmoset, mouse (placental mammals); grey short-tailed opossum (marsupials); and platypus (egg-laying monotremes). Corresponding data were generated for a bird (red junglefowl, the progenitor of domestic chicken), to be used as an evolutionary outgroup."	"EBI"	"total"	"Sn-scRNA-seq"	"3 libraries"	"10X Genomics V2, 10X Genomics"	"3'end"					"PMID: 36544022, PRJEB48237, E-MTAB-11072"
"ERP132578"	"snRNA-seq of platypus (Ornithorhynchus anatinus) adult testis"	"Single-nucleus RNA sequencing (snRNA-seq) was used to profile the transcriptome of 6,751 nuclei in platypus adult testis. This dataset includes two samples from two different individuals. This dataset is part of a larger evolutionary study of adult testis at the single-nucleus level (97,521 single-nuclei in total) across mammals including 10 representatives of the three main mammalian lineages: human, chimpanzee, bonobo, gorilla, gibbon, rhesus macaque, marmoset, mouse (placental mammals); grey short-tailed opossum (marsupials); and platypus (egg-laying monotremes). Corresponding data were generated for a bird (red junglefowl, the progenitor of domestic chicken), to be used as an evolutionary outgroup."	"EBI"	"total"	"Sn-scRNA-seq"	"2 libraries"	"10X Genomics V2, 10X Genomics"	"3'end"					"PMID: 36544022, PRJEB48236, E-MTAB-11070"
"ERP132576"	"snRNA-seq of chicken (Gallus gallus) adult testis"	"Single-nucleus RNA sequencing (snRNA-seq) was used to profile the transcriptome of 8,413 nuclei in chicken adult testis. This dataset includes two samples from two different individuals. This dataset is part of a larger evolutionary study of adult testis at the single-nucleus level (97,521 single-nuclei in total) across mammals including 10 representatives of the three main mammalian lineages: human, chimpanzee, bonobo, gorilla, gibbon, rhesus macaque, marmoset, mouse (placental mammals); grey short-tailed opossum (marsupials); and platypus (egg-laying monotremes). Corresponding data were generated for a bird (red junglefowl, the progenitor of domestic chicken), to be used as an evolutionary outgroup."	"EBI"	"total"	"Sn-scRNA-seq"	"2 libraries"	"10X Genomics V3"	"3'end"					"PMID: 36544022, PRJEB48234, E-MTAB-11073"
"ERP132580"	"snRNA-seq of gibbon (Hylobates lar) adult testis"	"Single-nucleus RNA sequencing (snRNA-seq) was used to profile the transcriptome of 6,605 nuclei in gibbon adult testis. This dataset includes two samples from one individual. This dataset is part of a larger evolutionary study of adult testis at the single-nucleus level (97,521 single-nuclei in total) across mammals including 10 representatives of the three main mammalian lineages: human, chimpanzee, bonobo, gorilla, gibbon, rhesus macaque, marmoset, mouse (placental mammals); grey short-tailed opossum (marsupials); and platypus (egg-laying monotremes). Corresponding data were generated for a bird (red junglefowl, the progenitor of domestic chicken), to be used as an evolutionary outgroup."	"EBI"	"total"	"Sn-scRNA-seq"	"2 libraries"	"10X Genomics V2, 10X Genomics"	"3'end"					"PMID: 36544022, PRJEB48238, E-MTAB-11066"
"ERP110801"	"Timecourse single-cell RNAseq of whole mouse embryos harvested between days 6.5 and 8.5 of development."	"We have captured 100,000 single cells for single-cell RNAseq from whole mouse embryos during gastrulation and organogenesis, spanning days 6.5 to 8.5 of development, including embryonic and extraembryonic tissues. Cells were sampled every six hours, providing a continuous molecular characterisation of these processes. Cell libraries were prepared using the 10X Genomics Chromium platform."	"EBI"	"total"	"scRNA-seq"	"37 libraries, but barcode file contains info for only 26 samples (libraries)"	"10X Genomics V1, 10X Genomics"	"3'end"					"PMID: 30787436, PRJEB28586, E-MTAB-6967"
"SRP269777"	"The molecular landscape of neural differentiation inthe developing Drosophila brain revealed by targeted scRNA-seq and multi-informatic analysis"	"In this work, Michki et. al. isolate neurons and neural progenitors from the developing Drosophila brain. Through a combination of in silico and in situ techniques, they map out the expression dynamics of a variety of molecular factors that may play a role in specifying terminal neural fates at the RNA level, and provide tools to enable similar analyses to be performed in other systems. Overall design: R9D11-Gal4 genetic driver was used with a UAS:hH2B-2xmNG reporter to label type-II neural lineages in third instar larval brains. 20 brains were dissected, dissociated, and sorted on a Sony MA900 FACS machine. 10,000 cells were sequenced in a single lane of a 10Xchromium chip using their v3 chemistry. Cells were sequenced on an Illumina NovaSeq/HiSeq4000 with 400M reads allocated to this library. 6092 cells were identified with a mean read count of 97,604 reads/cell when aligned to the BDGP6(2014-07) Drosophila genome assembly from ENSEMBL using STAR. Downstream filtering and analysis were performed using scanpy."	"SRA"	"total"	"scRNA-seq"	"2 libraries"	"10X Genomics V2, 10X Genomics V3"	"3'end"	"GSE153723"	"PRJNA643805"	"PMID: 33909998"	"https://pubmed.ncbi.nlm.nih.gov/33909998/"	"we had to contact the authors for associating barcode and libraries/sample names: Answer from Nigel Michki : _sample0 is the L3_R9D11_10Xv2 library, _sample1 is the L3_R9D11_10Xv3 library."
"SRP400422"	"Single Cell RNA Sequencing of the Adult Drosophila Eye Reveals Distinct Clusters and Novel Marker Genes for All Major Cell Types"	"Although the adult Drosophila eye is an important model system for phototransduction and human disease research, high quality single cell resolution transcriptome data is lacking for this tissue. To address this, we performed single cell RNA-sequencing on wild-type Canton-S adult eyes from 1 day old male and female, 3-day and 7-day old male flies. These data sets will serve as an valuable resource for future research using the adult eye. Overall design: Adult eyes of Canton-S flies were dissected and dissociated into single cell solution with collagenase. Single cells were analyzed with 10x Chromium based scRNA-seq"	"SRA"	"total"	"scRNA-seq"	"4 libraries"	"10X Genomics V3"	"3'end"	"GSE214510"	"PRJNA885783"	"PMID: 36517671"	"https://doi.org/10.1038/s42003-022-04337-1"	"we had to contact the authors to get the barcode files, see answer from kelvin.yeung314159@gmail.com"
"SRP395089"	"Integrated single-cell chromatin and transcriptomic analyses of human scalp reveal etiological insights into genetic risk for hair and skin disease [scRNA-Seq]"	"In this study, we use single-cell ATAC sequencing (scATAC-seq) and single-cell RNA sequencing (scRNA-seq) to map chromatin accessibility and gene expression in human scalp samples from healthy patients and patients with alopecia areata Overall design: We generated single-cell ATAC-seq and single-cell RNA-seq libraries from human scalp tissue from three sources: punch biopsy samples from healthy control volunteers (C_PB, n = 3), punch biopsies from patients with clinically active alopecia areata (AA, n = 5), and discarded normal peripheral surgical tissue from patients undergoing dermatologic surgeries on the scalp (C_SD, n = 7)"	"SRA"	"partial"	"scRNA-seq"	"6 libraries"	"10X Genomics V3.1"	"3'end"	"GSE212447"	"PRJNA875446"	"PMID: 37500727"	"https://doi.org/10.1038/s41588-023-01445-4"	"6 libraries annotated among 10, because 4 are non-healthy (put in rejection file)"
"ERP139683"	"Timecourse single-cell RNA-seq of whole rabbit embryos sampled across gestational days 7, 8 and 9"	"We characterised the transcriptomic profiles of 146,133 individual cells (post-QC) from whole rabbit embryos spanning gestational days 7, 8 and 9. These experiments were performed to elucidate the molecular programmes underlying gastrulation and early organogenesis in a non-rodent mammal. Combined with existing datasets of early mouse development, our rabbit developmental atlas facilitates a broad cross-species approach to deciphering early human development. Cell libraries were prepared using the 10X Genomics Chromium platform."	"EBI"	"total"	"scRNA-seq"	"26 libraries"	"10X Genomics V3"	"3'end"		"PRJEB54825"			
"SRP167086"	"Single cell RNAseq of mouse olfactory bulb reveals cellular heterogeneity and activity dependent molecular census of adult-born neurons"	"Cellular heterogeneity within the mammalian brain poses a challenge towards understanding its complex functions. Within the olfactory bulb (OB), odor information is processed by subtypes of inhibitory interneurons whose heterogeneity and functionality is influenced by ongoing adult neurogenesis. To investigate this cellular heterogeneity, and to better understand the developmental programs of adult-born neurons, we utilized single cell RNA sequencing and computational modeling to reveal diverse and transcriptionally distinct neuronal and non-neuronal cell types. We also analyzed molecular changes during adult-born interneuron maturation, and uncovered developmental programs within their gene expression profiles. Finally, we discovered that distinct neuronal subtypes are differentially affected by sensory experience. Together, these data provide a transcriptome-based foundation for investigating subtype-specific neuronal function in the OB, charting the molecular profiles that arise during the maturation and integration of adult-born neurons, and documenting activity-dependent changes in the cellular composition of the olfactory system. Overall design: To develop a comprehensive profile of cellular heterogeneity within the OB, here we employed high-throughput single-cell RNA sequencing (scRNA-seq) (Zheng et al. 2017) of activity manipulated and wildtype mouse olfactory bulbs. This technique allows an in-depth categorization of single cell molecular signatures, and provides an analysis of potential developmental and activity-dependent changes that occur in adult-born neuron populations. Together, our data inform the heterogeneity of interneurons within the OB, provide a molecular blueprint of stereotyped developmental programs for OB interneurons, and reveal the transcriptional changes that govern activity-dependent circuit integration of adult-born neurons. Furthermore, our results suggest that distinct molecular mechanisms act on different subsets of adult-born neurons, driving diversity and survival of adult-born interneuron subsets in an activity-dependent manner."	"SRA"	"partial"	"scRNA-seq"	"2 libraries"	"10X Genomics V2"	"3'end"	"GSE121891"	"PRJNA498989"	"PMID: 34471129, 30517858"	"https://doi.org/10.1038/s41467-021-25444-3, https://linkinghub.elsevier.com/retrieve/pii/S2211-1247(18)31797-2"	
"SRP303345"	"Single cell analysis of the ventricular-subventricular zone reveals signatures of dorsal and ventral adult neurogenic lineages. [single whole-cell]"	"Purpose: While great progress has been made in understanding the differences in regional stem cell potential using viral and genetic lineage tracing strategies, the core molecular heterogeneity that underlies these regional differences is largely unknown. Methods: Here we present a single whole-cell sequencing dataset of microdissected adult hGFAP:GFP mouse V-SVZ. Four samples were (two samples from male mice, two samples from female mice) multiplexed & combined using MULTI-Seq barcodes (McGinnes et al. 2019), labeled with TotalSeq antibodies against VCAM1 and CD24 proteins (Biolegend), and were split into two technical replicate lanes on a 10x Chromium Single Cell Controller chip for single cell barcoding. Genomic libraries were prepared using standard Illumina protocols, and barcode libraries (MULTI-Seq, TotalSeq) were prepared using MULTI-Seq protocols. Results: Here we present single whole-cell and single nucleus sequencing datasets of microdissected adult mouse V-SVZ, and evidence for the existence of two broad subtypes of adult neural stem cells. By using spatially resolved microdissections in the single nucleus sequencing dataset as a reference, and mapping marker gene expression in the V-SVZ, we find that these two populations reside in largely non-overlapping domains in either the dorsal or ventral V-SVZ. Furthermore, we identified two subpopulations of newly born neurons that have gene expression consistent with dorsal or ventral origins. Finally, we identify genes expressed by both stem cells and the neurons they generate that specifically mark either the dorsal or ventral adult neurogenic lineage. These datasets, methods and findings will enable future study of region-specific regulation of adult neurogenesis. Overall design: Single cell profiles of micro-dissected ventricular-subventricular zones of male (postnatal day 35) and female (postnatal day 29) hGFP:GFP mice."	"SRA"	"total"	"scRNA-seq"	"1 library"	"10X Genomics V3"	"3'end"	"GSE165554"	"PRJNA694959"	"PMID: 34259628"	"https://pubmed.ncbi.nlm.nih.gov/34259628/"	
"SRP303343"	"Single cell analysis of the ventricular-subventricular zone reveals signatures of dorsal and ventral adult neurogenic lineages. [single nucleus sequencing]"	"Purpose: While great progress has been made in understanding the differences in regional stem cell potential using viral and genetic lineage tracing strategies, the core molecular heterogeneity that underlies these regional differences is largely unknown. Methods: Here we present a single nucleus sequencing dataset of four microdissected regions of adult CD1 wild type mouse ventricular-subventricular zones (V-SVZ). Four samples (anterior-ventral, AV; anterior dorsal, AD; posterior ventral, PV; posterior dorsal, PD) were generated at the same time from the same mice, and each sample was run on its own lane of a 10x Chromium Single Cell Controller chip for single nucleus barcoding. Results: Here we present single nucleus and single whole cell sequencing datasets of microdissected adult mouse V-SVZ, and evidence for the existence of two broad subtypes of adult neural stem cells. By using spatially resolved microdissections in the single nucleus sequencing dataset as a reference, and mapping marker gene expression in the V-SVZ, we find that these two populations reside in largely non-overlapping domains in either the dorsal or ventral V-SVZ. Furthermore, we identified two subpopulations of newly born neurons that have gene expression consistent with dorsal or ventral origins. Finally, we identify genes expressed by both stem cells and the neurons they generate that specifically mark either the dorsal or ventral adult neurogenic lineage. These datasets, methods and findings will enable future study of region-specific regulation of adult neurogenesis. Overall design: Single nucleus profiles of regionally micro-dissected ventricular-subventricular zones of 17 postnatal day 35 male (8 mice) and female (9 mice) CD1 wild type mice."	"SRA"	"total"	"Sn-scRNA-seq"	"4 libraries"	"10X Genomics V2"	"3'end"	"GSE165551"	"PRJNA694946"	"PMID: 34259628"	"https://pubmed.ncbi.nlm.nih.gov/34259628/"	
"ERP124448"	"A spatially resolved single cell atlas of human gastrulation"	"Single-cell RNA-seq of 1195 cells obtained from a human embryo at embryonic day 16."	"EBI"	"total"	"scRNA-seq"	"1195 libraries"	"Smart-Seq2"	"Full-length"		"PRJEB40781"	"PMID: "		
