"#experimentId"	"experimentName"	"experimentDescription"	"experimentSource"	"experimentStatus"	"projectTags"	"numberOfAnnotatedLibraries"	"protocol"	"protocolType"	"GSE"	"Bioproject"	"PMID"	"PMID_url"	"comment"
"SRP163252"	"Atlas of RNA sequencing profiles of normal human tissues"	"Overall design: A total of 148 solid tissue samples representing 20 organs were taken from post-mortal human healthy donors killed in road accidents no later than 36 hours after death. Prior to RNA extraction solid normal tissue samples were stored either in RNAlater or as Formalin-Fixed Paraffin-Embedded (FFPE) blocks. Blood and bone marrow samples were taken from 6 and 11 healthy volunteers respectively and subjected immediately to RNA extraction. Following ribosomal RNA depletion and RNA libraries construction transcription profiles of the samples were obtained using Illumina HiSeq 3000."	"SRA"	"total"									"PRJNA494560, GSE120795"
"SRP129900"	"Scophthalmus maximus Raw sequence reads"	"Transcriptomic profiling revealed the signatures of crowding stress on the immune response in juvenile turbot"	"SRA"	"total"									"PRJNA430115"
"SRP188583"	"Different expression of genes on gills from turbot scophthalmus maximus that fed with different contents of myo-inositol"	"In this study, whole genome transcription profiling of turbot as it fed with different contents myo-inositol was performed to decipher the mechanisms by which myo-inositol modulates physiological functions"	"SRA"	"partial"									"PRJNA527368"
"ERP005899"	"7tissues"	"To measure gene expression, mRNA from seven different tissues was extracted (adipose, muscle, hypothalamus, duodenum, liver, lung and kidney) from frozen tissues using TRIzol (Invitrogen). Messenger RNA from 7~14 animals was pooled equally before sequencing"	"SRA"	"total"									"E-MTAB-2596, PRJEB6377"
"#SRP016073"	"Felis catus Transcriptome or Gene expression"	"RNA-seq of testicle transcriptome."	"SRA"	"total"	"NA"								"(discarded, it is 454-seq, means similar to ESTs)"
"SRP042944"	"Felis catus strain:domestic short hair Transcriptome or Gene expression"	"Directional Transcriptome RNAseq"	"SRA"	"total"	"NA"								"NA"
"SRP024250"	"Canis lupus familiaris Transcriptome RNA-seq"	"RNA-seq of spontaneous canine mammary cancers and normal samples."	"SRA"	"partial"	"NA"								"NA"
"SRP066652"	"transcriptome of Canis lupus  familiaris"	"transcriptome of Canis lupus familiaris"	"SRA"	"total"	"NA"								"NA"
"SRP081080"	"Naturally Occurring Dog Model for Juvenile Dermatomyositis"	"Whole genome data were generated to identify candidate causal variants underlying dermatomyositis in a canine model. Transcriptome data were generated to validate exon/intron boundaries and determine which genes (and isoforms) are expressed in skin."	"SRA"	"total"	"NA"								"NA"
"ERP001524"	"Transcriptome sequencing of leopard complex spotting in Equus caballus"	"Leopard complex spotting (LP) is a collection of unique white spotting patterns in several breeds of domestic horse (Equus caballus). This study undertook whole transcriptome sequencing of one LP/LP skin biopsy and one lp/lp skin biopsy."	"SRA"	"total"	"NA"								"NA"
"ERP001525"	"Transcriptome sequencing of leopard complex spotting in Equus caballus"	"Leopard complex spotting (LP) is a collection of unique white spotting patterns in several breeds of domestic horse (Equus caballus). This study undertook whole transcriptome sequencing of one LP/LP retina, one lp/lp retina, and one LP/lp skin biopsy."	"SRA"	"partial"	"NA"								"NA"
"SRP075700"	"RNA-Seq identifies differential gene expression associated with risk-genotype for Rhodococcus equi pneumonia in horses"	"Rhodococcus equi is an intracellular bacterium that affects young foals and immuno-compromised individuals causing severe pneumonia.  Currently, the genetic mechanisms which confer susceptibility and or resistance to R. equi are not fully understood.  Pre"	"SRA"	"total"	"NA"								"GSE81858"
"ERP002220"	"BovRNA-Seq"	"SNP discovery in bovine muscle: the aim of the project was to used a transcriptomic-based approach to identify coding SNPs"	"SRA"	"total"	"NA"								"NA"
"ERP006867"	"Epigrani"	"Once daily milking of dairy cows induces long-term effects on milk production by altering the expression of coding genes which play key roles in milk production (Boutinaud et al, 2013, Physiol Genomics, 45:973-985). These variations had been analyzed in p"	"SRA"	"total"	"NA"								"NA"
"ERP016257"	"A structural variant in the 5'-flanking region of the TWIST2 gene affects melanocyte development in belted cattle"	"Belted cattle have a circular belt of unpigmented hair and skin around their midsection. The belt is inherited as a monogenic autosomal dominant trait. We mapped the causative variant to a 54 kb segment on bovine chromosome 3. Whole genome sequence data o"	"SRA"	"total"	"NA"								"NA"
"ERP023706"	"RNAseq of circulating neutrophils in peripartal grazing dairy cows divergent in metabolic health"	"In dairy cows, the transition from dry and pregnant to non-pregnant and lactating creates metabolic and immunological strain, which means many cows succumb to metabolic and infectious disease. This peripartum period, from three weeks pre-calving to three-"	"SRA"	"total"	"NA"								"NA"
"SRP032351"	"MicroRNA regulation of the bovine local and systemic monocyte transcriptional responses to an in vivo Streptococcus uberis challenge"	"MicroRNA regulation of the bovine local and systemic monocyte transcriptional responses to an in vivo Streptococcus uberis challenge Overall design: Milk and blood isolated CD14+ monocyte cells taken from 5 infected Holstein friesians and 5 control Holste"	"SRA"	"partial"	"NA"								"GSE51856"
"SRP041696"	"Transcriptome profiling of muscle by RNA-Seq reveals significant digital gene expression profiling differences between Angus and Luxi Cattle"	"The development of massively parallel sequencing technologies enables the sequencing of total cDNA to identify unigene expression and to discover novel regions of transcription. Here, we report the first use of RNA-Seq to find the digital gene expression"	"SRA"	"total"	"NA"								"GSE57327"
"SRP042639"	"Bos taurus Gene expression Atlas"	"RNA sequencing of one bos Taurus lactating cow"	"SRA"	"total"	"NA"								"NA"
"SRP009677"	"RNA-seq profiling of theca and granulosa tissue of dominant follicle at 3 stages of follicular development in cows and heifers."	"Cellular mechanisms that contribute to low estradiol concentrations produced by the preovulatory ovarian follicle in cattle with a compromised metabolic status (such as lactatino) are largely unknown. To gain insight into the main metabolic mechanisms aff"	"SRA"	"total"	"NA"								"NA"
"SRP012411"	"Transcriptomic analysis of the stress response to weaning at housing in bovine leukocytes using RNA-seq technology"	"Background: Weaning of beef calves is a necessary husbandry practice and involves separating the calf from its mother, resulting in numerous stressful events including dietary change, social reorganisation and the cessation of the maternal-offspring bond"	"SRA"	"total"	"NA"								"GSE37447"
"SRP030134"	"Male-specific region of the bovine Y chromosome is gene rich with a high transcriptomic activity in testis development"	"Abstract  The male-specific region of the mammalian Y chromosome (MSY) contains clusters of genes essential for male reproduction. The highly repetitive and degenerative nature of the Y chromosome impedes genomic and transcriptomic characterization. Alth"	"SRA"	"total"	"NA"								"NA"
"SRP030211"	"Annotation of mammalian sex chromosomes"	"Transcriptome data and assembled transcripts of X/Y gene pairs from human, chimpanzee, rhesus monkey, marmoset monkey, rat, mouse, cow, opossum, and chicken as an outgroup."	"SRA"	"total"	"NA"								"NA"
"SRP063069"	"Dominette sequence data"	"Sequence data for L1 DOMINETTE 01449 (reg:42190680)"	"SRA"	"partial"	"NA"								"NA"
"SRP012475"	"RNA-seq analysis of differential gene expression in liver from lactating dairy cows divergent in negative energy balance"	"Background: The liver is central to most economically important metabolic processes in cattle. However, the changes in expression of genes that drive these processes remain incompletely characterised. RNA-seq is the new gold standard for whole transcriptome analysis but so far there are no reports of its application to analysis of differential gene expression in cattle liver. We used RNA-seq to study differences in expression profiles of hepatic genes and their associated pathways in individual cattle in either mild negative energy balance (MNEB) or severe negative energy balance (SNEB). NEB is an imbalance between energy intake and energy requirements for lactation and body maintenance. This aberrant metabolic state affects high-yielding dairy cows after calving and is of considerable economic importance because of its negative impact on fertility and health in dairy herds. Analysis of changes in hepatic gene expression in SNEB animals will increase our understanding of NEB and contribute to the development of strategies to circumvent it.     Results: RNA-seq analysis was carried out on total RNA from liver from early post partum Holstein Friesian cows in MNEB (n=5) and SNEB (n=6). 12,833 genes were deemed to be expressed (>4 reads per gene per animal), 413 of which were shown to be statistically significantly differentially expressed (SDE) at a false discovery rate (FDR) of 0.1% and 200 of which were SDE (FDR of 0.1%) with a =2-fold change between MNEB and SNEB animals. GOseq/KEGG pathway analysis showed that SDE genes with =2- fold change were associated (P <0.05) with 9 KEGG pathways. Seven of these pathways were related to fatty acid metabolism and unexpectedly included *Steroid hormone biosynthesis*, a process which mainly occurs in the reproductive organs rather than the liver.    Conclusions: RNA-seq analysis showed that the major changes at the level of transcription in the liver of SNEB cows were related to fat metabolism. *Steroid hormone biosynthesis*, a process that normally occurs in reproductive tissue, was significantly associated with changes in gene expression in the liver of SNEB cows. Changes in gene expression were found in this pathway that have not been previously been identified in SNEB cows. Overall design: 11 liver RNA samples were analysed in total, 6 samples were from SNEB animals and 5 samples from MNEB animals"	"SRA"	"total"	"NA"								"GSE37544"
"SRP014147"	"Bos taurus Transcriptome or Gene expression"	"Sequencing of a pool of 9 bulls of varying conception rate (CR) scores from -2.9 to 3.5."	"SRA"	"total"	"NA"								"PRJNA170069"
"SRP014561"	"Comparative transcriptome analysis of various adipose depots in Hanwoo"	"*Background: Adipocytes mainly function as energy storage and endocrine cells.  The amount and distribution of fat are important factor that influence the meat quality in the beef industry.  Fat depot can be found around internal organ (ometal), beneath the skin (subcutaneous), and between muscles (intramuscular).  Different adipose depot showed the biological and genetic difference depending on their location.  This inter-depot variation might be influenced by the inherent genetic programing for development of adipose depots.  In this study, we used RNA-seq data to investigate the difference in transcriptome of various adipose depots in Hanwoo. *Results: Using RNA-seq, we identified 5797, 2156, and 5455 DEGs in the comparison between OI, OS, and IS respectively (FDR<0.01) and found 853, 48, and 979 DEGs specific to subcutaneous, intramuscular and omental fat respectively.  DEGs in intramuscular fat were highly enriched the metabolism related pathways compared to other fat depots. DEGs specific to the omental fat is significantly enriched in PPAR signaling pathway and cell-junction related pathway.  In subcutaneous fat, cytokine-cytokine receptor interaction with chemokines (CXC and CC subfamily) was the most significantly enriched the pathways.  Interestingly, melanogenesis pathway was associated with the subcutaneous depot.  Even though the adipose tissues shared the same pathways for adipocyte differentiation, the regulation of genes were different based on the depot. *Conclusions: We comparatively analyzed the transcripome profile from different adipose tissues using NGS and identified DEGs between adipose depot and specific to depot in Hanwoo animals.  The functional annotation analysis of DEGs found that transcriptome profile difference in various adipose tissue of intramuscular, subcutaneous, and ometal fat. Overall design: whole mRNA sequencing profiles of nine Korean native cattle (nine profiles of omental fat tissue, nine profiles of intramuscular fat tissue, nine profiles of subcutaneous fat tissue and eight profiles of muscle tissue)"	"SRA"	"total"	"NA"								"NA"
"SRP026485"	"RNA-seq analysis of differential gene expression in muscle from angus beef steers undergoing diet restriction and compensatory growth"	"The objective of this study was to examine changes in muscle gene expression of growing steers during a period of dietary energy restriction followed by a period of realimentation. Crossbred Aberdeen Angus x Holstein Friesian (n = 24) steers were assigned to one of two feeding treatments. Over a 99 d period, 1 group (n=12) was offered a high energy control diet consisting of concentrates ad libitum and 7 kg of grass silage per head daily. The second group (n=12) was offered an energy restricted diet consisting of grass silage ad libitum plus 0.5 kg of concentrate per head per day. From the end of the differential feeding period (99 d), both groups of animals were offered a total mixed ration (grass silage:concentrate ratio of 80:20). This period, which lasted 200 d, was known as the realimentation period. All animals were slaughtered on d 299 of the study. Muscle biopsies were collected at 2 time points (end of the differential feeding period (d 99) and during the realimentation period (d131). RNA was extracted and muscle gene expression was examined using RNA-seq technology and bioinformatic analysis. During the differential feeding period, 17 over-represented pathways were identified, including the peroxisome proliferator activated receptor signalling, glycolysis/ gluconeogenesis and metabolic pathways controlling the metabolism of lipids and lipoproteins which indicate reduced energy intake and fat tissue accumulation occurring in muscle tissue during the restriction phase. During the realimentation period, 164 differentially expressed genes were annotated to 9 over-represented pathways including starch and sucrose metabolism, carbohydrate digestion and absorption and TGF-beta signalling pathway. It is hypothesised that the signalling effects of the TGF-beta pathway were reduced thereby promoting accelerated cell growth and proliferation in muscle tissue of animals experiencing compensatory growth. This information can be exploited in genomic breeding programmes to assist selection of cattle with a greater ability to compensate following a period dietary restriction. Overall design: 24 muscle RNA samples were analysed in total. 6 samples were from muscle biopsies collected at the end of a period of dietary restriction (d99) and 6 samples were from muscle biopsies collected at the peak of compensatory growth (d131). In addition, RNA was also analysed from 6 samples collected from animals fed ad libitum at each of these two timepoints."	"SRA"	"total"	"NA"								"GSE48481"
"SRP039026"	"Multi-Tissue Omics Analyses Reveals Molecular Regulatory Networks for Puberty in Composite Beef Cattle"	"Puberty is a complex physiological event measured by various indicator traits in genetic improvement programs of beef cattle; thus, developing a more complete understanding of the genes and regulatory pathways and networks involved in puberty will provide knowledge to help improve genetic selection strategies. Herein, we characterized the transcriptome of five reproductive tissues (i.e. hypothalamus, pituitary gland, ovary, uterus, and endometrium) as well as tissues known to be relevant to growth and metabolism needed for cattle to achieve puberty (i.e., longissimus dorsi muscle, fat, and liver). These tissues were collected from pre (PRE)- and post (POST)-pubertal Brangus (3/8 Brahman; Bos indicus x 5/8 Angus; Bos taurus) heifers derived from a population of cattle used to identify QTL associated with fertility traits. In order to exploit the power of complementary omics analyses, PRE and POST puberty co-expression gene networks were constructed by combining the results from RNA-Seq, GWAS, and bovine transcription factors. RNA-Seq of 8 tissues among PRE and POST Brangus heifers revealed 1515 differentiallyexpressed and 943 tissue-specific genes within the 17,832 genes confirmed by metrics of RNA-Seq analysis. Combining the results from RNA-Seq and GWAS indentified a total of 25 QTL associated to heifer fertility. The hypothalamus experienced the most notable up-regulation of genes via puberty. Complementary omics procedures revealed 2,450 co-expressed genes across the 8 tissues relative to puberty. The PRE network had 372,861 connections whereas the POST network had 328,357 connections. A sub-network from this process revealed key transcriptional regulators (i.e., PITX2, FOXA1, TSG1D1, DACH2, LHX4, PROP1 and SIX6).  Results from multiples sources of omics data will facilitate the design of breeding strategies to improve fertility in Bos indicus-influenced composite cattle. Overall design: Sixty-one samples from PRE and POST pubertal composite beef heifers were analyzed with RNA-Seq. The transcriptome of five reproductive tissues (i.e. hypothalamus, pituitary gland, ovary, uterus, and endometrium) as well as tissues known to be relevant to metabolism andbody morphometrics needed for cattle to achieve puberty (i.e.,) was characterized. These tissues were collected from pre (PRE)- and post (POST)-pubertal Brangus (3/8 Brahman x 5/8 Angus) heifers derived from a population of cattle used to identify QTL associated with fertility. Total RNA was purified using a Trizol protocol (Invitrogen, Carlsbad, CA). Sequencing libraries were made using TruSeq RNA Sample Preparation kit of Illumina (San Diego, CA)."	"SRA"	"total"	"NA"								"GSE55435"
"SRP027560"	"Bos taurus strain:Chianina and Maremmana Transcriptome or Gene expression"	"The objective of this project is to exhaustively understand the biological basis of meat tenderness, which is considered an important trait for meat quality. Through deep mRNA sequencing, this study is aimed to analyze gene expression in muscle tissues of two Italian cattle breeds, Maremmana and Chianina, to uncover genes controlling meat tenderness and correlated metabolic pathways."	"SRA"	"total"	"NA"								"PRJNA212547"
"SRP033225"	"Bos taurus Genome sequencing"	"Examination of whole genome gene expression profiles from the placentas of cloned (somatic cell nuclear transfer, SCNT) and normally produced (control) calves using RNA-seq.The differentially expressed genes were analyzed between SCNT and control placentas."	"SRA"	"partial"	"NA"								"PRJNA229443"
"SRP033585"	"Transcriptome analysis of the bovine Y chromosome"	"The male-specific region of the mammalian Y chromosome (MSY) contains clusters of genes essential for male reproduction. The highly repetitive and degenerative nature of the Y chromosome impedes genomic and transcriptomic characterization. Although the Y chromosome sequence is available for the human, chimpanzee, and macaque, little is known about the annotation and transcriptome of nonprimate MSY. Here, we investigated the transcriptome of the MSY in cattle by direct testis cDNA selection and RNA-seq approaches. The bovine MSY differs radically from the primate Y chromosomes with respect to its structure, gene content, and density. Among the 28 protein-coding genes/families identified on the bovine MSY (12 single- and 16 multicopy genes), 16 are bovid specific. The 1,274 genes identified in this study made the bovine MSY gene density the highest in the genome; in comparison, primate MSYs have only 31-78 genes. Our results, along with the highly transcriptional activities observed from these Y-chromosome genes and 375 additional noncoding RNAs, challenge the widely accepted hypothesis that the MSY is gene poor and transcriptionally inert. The bovine MSY genes are predominantly expressed and are differentially regulated during the testicular development. Synonymous substitution rate analyses of the multicopy MSY genes indicated that two major periods of expansion occurred during the Miocene and Pliocene, contributing to the adaptive radiation of bovids. The massive amplification and vigorous transcription suggest that the MSY serves as a genomic niche regulating male reproduction during bovid expansion."	"SRA"	"total"	"NA"								"NA"
"SRP043521"	"Genes Affecting Hair Length, Thermoregulation and Lactation Phenotypes in Bos Taurus"	"Illumina Hiseq on 2 Samples"	"SRA"	"total"	"NA"								"NA"
"SRP045088"	"RNAseq analysis of the global bovine retinal transcriptome"	"We report RNAseq analysis of the transcriptome of 3 biological replicates of bovine retina Overall design: Examine retinal transcriptome of 3 biological replicates with tissue collected between 7:00 - 10:00AM"	"SRA"	"total"	"NA"								"NA"
"SRP045380"	"RNA-seq transcriptional profiling of peripheral blood leukocytes from cattle infected with Mycobacterium bovis"	"In the present study, we have analyzed the peripheral blood leukocyte (PBL) transcriptome of eight natural M. bovis-infected and eight age- and sex-matched non-infected control Holstein-Friesian animals using RNA-seq. In addition, we compared gene expression profiles generated using RNA-seq with those previously generated using the high-density Affymetrix GeneChip Bovine Genome Array platform from the same PBL-extracted RNA Overall design: Identify changes occuring at the transcriptome level of PBL in response to M. bovis"	"SRA"	"partial"	"NA"								"NA"
"SRP116585"	"Bos taurus breed:Holstein Raw sequence reads"	"The main goal of the study was to evaluate the effect of probiotics supplementation in the feeding of calves before and after the weaning. Rumen as well as ileum samples were taken to allow the evaluation of probiotics supplementation on the gastrointestinal tract development."	"SRA"	"total"	"NA"								"NA"
"SRP111412"	"Bos taurus Transcriptome - Angus"	"Bos tarus Angus liver and muscle RNAseq"	"SRA"	"total"	"NA"								"NA"
"SRP111067"	"Bos taurus blood and liver RNA sequence reads"	"RNA sequence reads from white blood cells and liver tissue from Holstein lactating cows"	"SRA"	"total"	"NA"								"NA"
"SRP067373"	"Bos taurus Raw sequence reads"	"Bovine RNA sequences"	"SRA"	"partial"	"NA"								"NA"
"SRP108615"	"Functional signaling and gene regulatory networks between the oocyte and the surrounding cumulus cells"	"The maturation of an oocyte, the female gamete, during folliculogenesis is highly dependent on the molecular interaction with the somatic cells. Here we generated transcriptome data of single oocytes and the surrounding cumulus cells from antral follicles, and developed an analytical framework to unveil their inter-cellular communication. We identified hundreds of ligand-receptors pairs that can transduce paracrine signaling between oocyte and cumulus. Several of the ligand-coding genes expressed in oocytes and cumulus cells are also functionally associated with regulation of transcription. Ligand-coding genes expressed in oocytes or cumulus showed distinct enrichment for biological functions that are likely associated with a coordinated formation of the transzonal projections from the cumulus that reach the oocyte's membrane. Finally, there were thousands of gene pairs with non-trivial linear co-expression pattern between oocytes and cumulus cells. Our analyses revealed a complex and functional regulatory circuit between the oocyte and surrounding cumulus cells. Overall design: Transcriptome data was generated from cumulus cells and oocytes from the same cumulus-oocyte complex"	"SRA"	"total"	"NA"								"GSE99678"
"SRP018740"	"miRNA and mRNA sequencing in cattle and pig"	"This study aimed to elucidate the role of ruminant-specific miRNAs in shaping mRNA expression divergence between ruminant and non-ruminant species. Three cattle and three pig blood samples were used for miRNA sequencing. One pooled sample from seven cattle blood samples and three pig blood samples were used for mRNA sequencing. Peripheral whole blood (approximately 2.5 mL) was collected from the jugular vein of cattle and pigs, into PAXgene Blood RNA tubes. TruSeq mRNA and miRNA library was constructed using Illumina System (TruSeq RNA and small RNA sample Preparation Kit). Sequencing was performed on the HiScan SQ system (Illumina) using the TruSeq  SBS kit v3 (50 cycels, Illumina)."	"SRA"	"partial"	"NA"								"NA"
"SRP049415"	"Bos taurus Transcriptome or Gene expression"	"mRNA was isolated from 79 different tissues from Dominette, the animal used for the original Bos taurus genome sequence. MRNA was also isolated from four tissues from Dominette's daughter, three tissues from Dominette's male fetus and ten tissues from SuperBull 99375. MRNA was isolated from each of these 96 tissue samples and sequenced by Illumina HiSeq 2000."	"SRA"	"partial"	"NA"								"NA"
"SRP024245"	"A global view of the transcriptional profiling of adipose tissue in Chinese Qinchuan cattle using RNA sequencing"	"We constructed a transcriptional profiling of adipose tissue by RNA sequencing. Samples were collected from Chinese Qinchuan fetal bovine, heifers, bulls, and steers. We unambiguously detected a substantial number of differently expressed genes (DEGs), novel transcript units (NTUs), and splicing variants.The expressional profile of adipose tissue changed considerably from fetuses to adults, whereas smaller differences were detected between the adipose tissues of adult cows (ATACs). As an endocrine organ, DEGs related to inflammatory and immune process were significantly enriched in the ATACs. These genes may play some roles in different regulation mechanisms of adipose tissue in different genders. In addition, adipose tissue abundantly expressed genes concerning the functions of the mitochondria and the ribosomes. These support the adipose tissue as an extremely active tissue for energy and protein metabolism besides the storage of surplus fuel. In this study, about two-thirds of the NTUs did not have coding ability. Both the NTUs with and without coding ability were enriched from 300bp to 1,500bp. The main difference in the number of the two types of NTUs was also concentrated in this range.  In total, about 18.2% of the genes in adipose tissues were alternatively spliced, and half of them were specially expressed in different patterns. Combined with previous studies, we concluded that alternatively splicing events occur variously in different tissues or different patterns of adipose tissue. Taken together, our study provided complete datasets involving the spatial and temporal transcriptome of adipose tissue which suggested the complexity of adipose tissue and our study will provide essential information for further research. Overall design: Examinations of subcutaneous adipose tissues of fetal bovines, adult heifers, adult bulls, and adult steers"	"SRA"	"total"	"NA"								"GSE47653"
"SRP026487"	"Characterization and Comparison of the Leukocyte Transcriptomes of Three Cattle Breeds"	"In this study, we use mRNA-Seq to characterize and compare the leukocyte transcriptomes of Holstein, Jersey, and Cholistani with respect to variations in sequence, expression, and splicing. Overall design: Poly A+ RNA are extracted from leukocytes of pools of blood drawn from cows of three different breeds, Holstein, Jersey, and Cholistani. The objective of the study is to compare sequence variation and gene expression of the three cattle breeds."	"SRA"	"total"	"NA"								"GSE48487"
"SRP033080"	"Endometrial gene expression and cow fertility"	"Profitable milk production in dairy cows requires good reproductive performance. Calving interval is a trait used to measure reproductive efficiency. Here we used a novel lactating Holstein cow model with genetic and phenotypic divergence in calving interval. Cows had similar genetic merit for milk production traits, but either very good genetic merit for fertility (Fert+; n = 7) or very poor genetic merit for fertility (Fert-; n = 6). We sequenced the transcriptome of endometrial biopsies collected on day 7 of the estrous cycle, a crucial stage for establishment of pregnancy. Significant differential expression (FDR adjusted p < 0.1) of 403 genes was found between the  Fert+ and Fert- animals. A standard over-representation analysis resulted in 12 lowly populated canonical pathways; however a novel in-depth analysis revealed a core of eighteen genes both differentially expressed and highly abundant. Almost all of these genes were related to actin-related and cytoskeletal components of the endometrium; fundamental cell-structure differences existed between  Fert+ and Fert- phenotypes. We also present results indicating inflammation-related genes are down-regulated, and that multiple ion transporters and gated-voltage channels were up-regulated, in Fert+ cows. These three topics are discussed in terms of the uterus and in the context of fertility during early embryo development. Transcriptomic data analysis is complex; we use a method that filters those genes that may be of greatest importance to the tissue at the timepoint of sampling. Our findings support the utility of this approach, as well as highlighting clear physiological differences in our animal model. Overall design: 14 samples total; 7 Fert+ (*high fertility*), 7 Fert- (*low fertility*); no controls; Fert+, Fert- differential gene expression analysis"	"SRA"	"total"	"CIDR (Controlled Internal Drug Release) for estrous cycle synchronization ?"								"GSE52438"
"SRP045641"	"RNA-seq analysis of trait-associated genes (TAGs) in somatic cells from Holstein milk"	"Background : Although the chemical, physical, and nutritional properties of bovine milk have been extensively studied, few studies have attempted to characterize the milk synthesizing genes associated with milk yielding traits. In addition, no previous attempts have been made to detect quantitative traits such as milk production related traits, associated genes on RNA-seq experiment with several biological replicates. Research in this field is necessary as bovine milk is a primary source of nutrition for humans. Results : We investigated advantages of using linear models with continuous response variables over converted group variables in a Holsteins' milk. Suggested methods were more suitable in detection of significant genes in our analysis; the proportion of false discoveries to total significant genes was observed to be much lower compared to the precedent approaches we employed. These were observed through mock comparison studies and quantitative real time PCR (qRT-PCR). Conclusion : Several milk production related genes and pathways were identified from the suggested methods. Given the current trend in RNA-seq pricing, we expect our methods to be successfully applied in various RNA-seq studies with numerous biological replicates that handle continuous response traits. Overall design: We generated 21 RNA-seq samples (biological replicates) from the RNA samples were extracted from the somatic cells of Holsteins' milk."	"SRA"	"total"	"NA"								"GSE60575"
"SRP048734"	"Liver and muscle gene expression and cow fertility at late pregnancy, early lactation and mid lactation"	"The transition between pregnancy and lactation is a major physiological change that dairy cows must contend with. Complex systemic and local processes involving gluconeogenesis, energy balance, utilisation of body reserves, insulin resistance and involution of the uterus can have an effect on animal health and farm profitability. Here we used an established Holstein cow model of fertility that displayed genetic and phenotypic divergence in calving interval, a trait used to define reproductive performance using a national breeding index in Ireland. Cows had similar genetic merit for milk production traits, but either very good genetic merit for fertility ('Fert+'; n = 8) or very poor genetic merit for fertility ('Fert-'; n = 8). We investigated three distinct time-points, late pregnancy, early lactation and mid lactation (-18, 1 and 147 days on average with day 0 being birth), using RNA sequencing from both liver and muscle tissue biopsies and conducting a differential expression (DE) analysis. We found 807 and 815 unique genes to be DE in at least one time-point in liver and muscle respectively, of which 79% and 83% were only found in a single time-point; 40 and 41 genes were found DE at every time-point indicating possibly systemic or chronic dysregulation. Functional annotation resulted in evidence for two major physiological processes: immune and inflammation, and metabolic, lipid and carbohydrate-binding. These processes indicate areas of previous interest as well as specific systems that appear differentially regulated, and point towards interesting avenues of further research in a broad and complex field. Overall design: 96 samples total; 8 Fert+ (*high fertility*), 8 Fert- (*low fertility*); no controls; Fert+, Fert- differential gene expression at three timepoints in two tissues"	"SRA"	"total"	"NA"								"GSE62159"
"SRP050127"	"Ruminal transcriptomic analysis of grass-fed and grain-fed Angus beef cattle"	"Beef represents a major diet component and one of the major sources of protein in human. The beef industry in the United States is currently undergoing changes and is facing increased demands especially for natural grass-fed beef. The grass-fed beef obtained their nutrients directly from pastures, which contained limited assimilable energy but abundant amount of fiber. On the contrary, the grain-fed steers received a grain-based regime that served as an efficient source of high-digestible energy. Lately, ruminant animals have been accused to be a substantial contributor for the green house effect. Therefore, the concerns from environmentalism, animal welfare and public health have driven consumers to choose grass-fed beef. Rumen is one of the key workshops to digest forage constituting a critical step to supply enough nutrients for animals' growth and production. We hypothesize that rumen may function differently in grass- and grain-fed regimes. The objective of this study was to find the differentially expressed genes in the ruminal wall of grass-fed and grain-fed steers, and then explore the potential biopathways. In this study, the RNA Sequencing (RNA-Seq) method was used to measure the gene expression level in the ruminal wall. The total number of reads per sample ranged from 24,697,373 to 36,714,704. The analysis detected 342 differentially expressed genes between ruminal wall samples of animals raised under different regimens. The Fisher's exact test performed in the Ingenuity Pathway Analysis (IPA) software found 16 significant molecular networks. Additionally, 13 significantly enriched pathways were identified, most of which were related to cell development and biosynthesis. Our analysis demonstrated that most of the pathways enriched with the differentially expressed genes were related to cell development and biosynthesis. Our results provided valuable insights into the molecular mechanisms resulting in the phenotype difference between grass-fed and grain-fed cattle. Overall design: Ruminal wall samples from two randomly chosen animals per group were obtained, totaling four samples. The animals were born, raised and maintained at the Wye Angus farm. This herd, which has been closed for almost 75 years and yielded genetically similar progenies, constitutes an excellent resource to perform transcriptomic analysis. The genetic resemblance among individuals permits us to better control the cause of variation between experimental clusters and individuals. The randomly chosen pairs of animals were part of larger sets of steers that received a particular treatment. All animals received the same diet until weaning. The grain group received conventional diet consisting of corn silage, shelled corn, soy bean and trace minerals. The grass fed steers consumed normally grazed alfalfa; during wintertime, bailage was utilized. The alfalfa has been harvested from land without any fertilizers, pesticides or other chemicals. The steers ate no animal, agricultural or industrial byproducts and never receive any type of grain. Then, the calves were randomly assigned to one diet and exclusively received that regimen until termination. Grain-fed animals reached the market weight around the age of 14 month-old, however, grass-fed steers required approximately 200 additional days to achieve the same weight. Immediately after termination at the Old Line Custom Meat Company (Baltimore, MD) a small piece of ruminal wall was excised, cleaned and preserved at -80°C for posterior processing."	"SRA"	"total"	"NA"								"GSE63550"
