"#experimentId"	"experimentName"	"experimentDescription"	"experimentSource"	"experimentStatus"	"comment"	"tags"
"SRP066905"	"Co-evolution of the immune system and the fetal/maternal interface in viviparous mammals"	"Opossum (Monodelphis domestica) uterine tissue Illumina-based transcriptomes from pregnant (P), non-pregnant past breeder (N), and virgin (V) animals were compared by differential expression analyses."	"SRA"	"total"		
"SRP082457"	"Transcriptomic and epigenetic responses to social challenge and their association with future behavior in honey bees (RNA-Seq)"	"We studied behavioral, brain transcriptomic and epigenetic responses of honey bees to social challenge. Bees were exposed to two intruders at different intervals. The initial exposure caused two behavioral effects at the individual level: an increase in the intensity of aggression toward a second intruder at 30 and 60 minutes, and an increased probability of responding aggressively toward a second intruder that persisted for two hours. The shorter-lived response was associated with one pattern of gene expression in the mushroom bodies, highlighted by genes related to cytoskeleton remodeling. The longer-lived response was associated with a different pattern; highlighted by genes related to hormones, stress response and transcription factors. Histone profiling revealed few changes in chromatin accessibility in response to social challenge; most differentially expressed genes were *ready* to be activated. These results demonstrate how biological embedding of a social challenge involves changes in the neurogenomic state to influence future behavior. Overall design: There are a total of 180 samples equally balanced between 3 factors: 90 challenge (X) and 90 control (C); 60 30m, 60 60m, and 60 120m; 60 colony R02, 60 colony R03, and 60 colony R21. The control and experimental samples are paired. We excluded a total of 26 samples with a proportion of reads mapping to the Deformed Wing Virus (DWV) genome of = 0.005."	"SRA"	"total"	"GSE85876"	
"SRP068487"	"Apis mellifera Raw sequence reads"	"we examined the differential gene expression among honeybee queen, worker and drone larvae at the age of 2- and 4-day old."	"SRA"	"total"	"PRJNA308790"	
"DRP002877"	"Comparative transcriptomics reveals the conserved building blocks involved in parallel evolution of ant phenotypic traits"	"We build 17 de novo transcriptomes and applied weighted gene co-expression network analysis to transcriptomic data from 16 ant species (two social forms of Solenopsis invicta) from three sub-families of ants. In this study, we show the existence of conserved modules of co-expressed functionally related genes that are correlated with phenotypic differentiation between queens and workers."	"SRA"	"partial"	"PRJDB4088, only Solenopsis invicta annotated so far"	"NA"
"SRP049683"	"Solenopsis invicta Transcriptome or Gene expression"	"transcriptome analysis"	"SRA"	"total"	"PRJNA266847"	"NA"
"SRP033402"	"Papio anubis Transcriptome or Gene expression"	"RNA sequencing of multiple tissues from olive baboon"	"SRA"	"total"	"PRJNA227336"	"NA"
"SRP043275"	"RNA-seq of adult baboon subventricular zone primary cells"	"RNA-seq profiles were generated from adult baboon subventricular zone primary cells by paired-end deep sequencing with an Illumina HiSeq 2000.RNA-Seq Analysis: Total RNA was extracted from purified baboon SVZ cells using TRIzol reagent, and sequencing libraries were generated with the Illumina RNA-Seq library kit. Paired-end RNA-deepSeq (76 base pair; >300 million tag reads; 269,081,636 mapped reads) were aligned to hg19. DESeq was used to normalize raw read counts, and Cufflink reports read counts and estimated FPKM (fragments per kilobase of exon per million fragments mapped; http://cufflinks.cbcb.umd.edu/faq.html#fpkm). Genes with expression values >1 FPKM were considered for subsequent analyses."	"SRA"	"total"	"GSE58527"	
"SRP080778"	"Circadian transcriptome of Papio anubis"	"Papio anubis Raw sequence reads"	"SRA"	"total"	"PRJNA335652"	"circadian"
"SRP107218"	"Diurnal transcriptome atlas of a primate across all major neural and peripheral tissues"	"transcriptome of 64 different tissues from the diurnal primate Papio Anubis sampled every 2 h over 24 h"	"SRA"	"total"	"GSE98965, PRJNA386932"	"circadian"
"SRP082487"	"Sus scrofa Transcriptome or Gene expression"	"Investigating the cold adaptation of pigs through RNA-Seq Analysis of adipose tissues."	"SRA"	"total"	"PRJNA339666"	
"SRP067000"	"Global transcript analysis of quantitative trait loci (QTL) associated with meat tenderness in pigs"	"We sequenced mRNA from 32 muscles (n=16 semimembranosus,n=16 longisimus dorsi) of two pig breeds (Pulawska and Polish Landrace), which are differing in firmness. The differences between pig groups with respect to shear force of coocked meat were significant and amounted to 64.88 N (P<0.01) in longisimus dorsi and 14.8 N (P<0.05) for semimembranosus. Overall design: Examination of mRNA levels between pig breeds differing in shear force. Project ID: 217776 founded National Science Centre (NCN), title: Application of targeted next generation sequencing (NGS) in the identification of genetic markers associated with the pork quality"	"SRA"	"total"	"GSE75707, PRJNA305124"	
"SRP125768"	"A single-cell transcriptome atlas of the ageing Drosophila brain"	"Overall design: scRNA-seq (10x Genomics CHROMIUM Single Cell 3' Solution V2 Chemistry and Drop-seq) of adult brains from Drosophila melanogaster at various ages; SMART-seq2 on FAC-sorted R23E10-Gal4 positive neurons of adult brains from Drosophila melanogaster; Adapted SMART-seq2 on FAC-sorted R23E10-Gal4 positive neurons of adult brains from Drosophila melanogaster; CEL-seq2 on FAC-sorted R23E10-Gal4 positive neurons of adult brains from Drosophila melanogaster; Bulk RNA-seq of adult brains from Drosophila melanogaster; ATAC-seq of young (0 days) and old (50 days) adult brains from Drosophila melanogaster"	"SRA"	"partial"	"GSE107451 (this experiment is here for 'bulk RNA-seq' and also in file scRNA-seq for the other protocols)"	
"SRP045680"	"Astyanax mexicanus - Developmental Gene Expression"	"Astyanax mexicanus, commonly know as the blind Mexican cavefish, is an excellent system to investigate the genetic basis for traits evolving as a consequence of natural environmental pressures. This species includes multiple cave-dwelling populations that have colonized the dark, subterranean environment, and repeatedly evolved a suite of troglomorphic traits, including eye degeneration, loss of pigmentation, alterations in behavior, increased number of taste buds, and an enhanced lateral line system. To investigate the genetic changes associated with cave colonization, we have utilized RNA-seq technologies to compare gene expression variation between surface- and cave-dwelling forms of Astyanax mexicanus. This approach includes a dynamic comparison across four critical stages of early development wherein many troglomorphic-specific traits appear. These analyses dramatically enhance our understanding of phenotypic evolution in the wild, and offer insight to analogous human diseases, including retinal degeneration, pigmentation disorders, craniofacial abnormalities and altered sleep/activity patterns."	"SRA"	"total"	"PRJNA258661"	
"SRP018725"	"Astyanax mexicanus Transcriptome or Gene expression"	"Astyanax provides a model for the retinal degeneration diseases of old age. Some populations of the Mexican tetra (Astyanax mexicanus) are blind cavefish that inhabit perpetually dark caves in Mexico. Living in environments devoid of light, Astyanax have evolved impaired vision and pigment loss by genetic drift or natural selection. Other populations of the Mexican tetra inhabit rivers and streams of northern Mexico and the southern US; these surface populations have normal eyes and dark pigment cells in their skin, thus providing a ''wild-type control'' for the ''evolutionary mutant'' cavefish. This species thus provides an ideal opportunity to study the genetic basis of retinal degeneration."	"SRA"	"total"	"PRJNA177689"	
"SRP020526"	"Mus musculus strain:black6 x castaneus Transcriptome or Gene expression"	"RNA-Seq of reciprocally crossed Black6 x CAST hybrid mouse tissues."	"SRA"	"total"	"PRJNA196210"	
"SRP142618"	"Dose-dependent transcriptomic responses of zebrafish embryos to Bisphenol A"	"Overall design: Whole embryo (5 dpf; wild type zebrafish) mRNA profiles of 4 groups (control, 0.1, 1 and 4 ppm of BPA) were generated by deep sequencing, in triplicate, using Illumina TruSeq SBS Kit v3-HS (pair-ended) on a HiSeq2000 sequencing system."	"SRA"	"partial"	"GSE113676, PRJNA453567"	
"SRP070644"	"Next Generation Sequencing Facilitates Quantitative Analysis of Wild Type Young and Old muscle Transcriptomes"	"Overall design: Muscle mRNA profiles of 3-month old wild type (WT young) and 20-month old wild type mice (WT Old) were generated by deep sequencing, in triplicate, using Illumina HiSeq 3000."	"SRA"	"total"	"GSE78147, PRJNA312777"	
"SRP032428"	"Swim bladder of Takifugu rubripes Transcriptome or Gene expression"	"The fish gill, as one of the mucosal barriers, plays an important role in mucosal immune response. The fish swimbladder functions for regulating buoyancy. The fish swimbladder has long been postulated as a homologous organ of the tetrapod lung, but the molecular evidence is scarce. In order to provide new information that is complementary to gill immune genes, initiate new research directions concerning the genetic basis of the gill immune response and understand the molecular function of swimbladder as well as its relationship with lungs, transcriptome analysis of the fugu Takifugu rubripes gill and swimbladder was carried out by RNA-Seq."	"SRA"	"total"	"PRJNA224764"	
"SRP032431"	"Gill of Takifugu rubripes Transcriptome"	"The fish gill, as one of the mucosal barriers, plays an important role in mucosal immune response. The fish swimbladder functions for regulating buoyancy. The fish swimbladder has long been postulated as a homologous organ of the tetrapod lung, but the molecular evidence is scarce. In order to provide new information that is complementary to gill immune genes, initiate new research directions concerning the genetic basis of the gill immune response and understand the molecular function of swimbladder as well as its relationship with lungs, transcriptome analysis of the fugu Takifugu rubripes gill and swimbladder was carried out by RNA-Seq."	"SRA"	"total"	"PRJNA224763"	
"SRP162729"	"Gene expression in day 4 pregnant uterus"	"To detect the gene profiles in receptive uterus, two independent uteri are collected from pregnant day 4 mice and subjected to RNA-Seq. After aligned to mouse mm9 by Tophat2, RPKM value was calculated by Edger. Our results show that HMGB1 is one of the most abundant gene in the whole HMG family. The expression of HMGB1 was further confirmed by qPCR, ISH and immunofluorescence. The expression of HMGB1 was found expressed in very cells, indicating the essential role of HMGB1 for reproduction. This RNA-Seq data provides fundamental information for our further physiological study of HMGB1. Overall design: Total RNAs in whole uterus from two independent mouse were extracted by TRIzol and purified by ploy-A before subjected to RNA-Seq by HiSeq2500. The expression of level of each gene is normalized to RPKM."	"SRA"	"total"	"GSE120549, PRJNA493559"	
"SRP017517"	"Transcriptome study in rhesus monkey"	"RNA-Seq technology was widely used to study gene expression, splicing structure and RNA editing. To facilitate transcriptome study in rhesus macaque, and provide an evolutionary context to understand human biology, we performed 90bp × 2, paired-end, strand-specific, polyA-postive RNA-Seq in 10 tissues of the same macaque animals. The data were deposited under accession number GSE42857 and GSE34426. Overall design: This submission represents RNA-Seq: cerebellum, lung, kidney, heart and spleen component of study."	"SRA"	"total"	"GSE42857, PRJNA183644"	
"SRP009818"	"Transcriptome study in rhesus monkey"	"RNA-Seq technology was widely used to study gene expression, splicing structure and RNA editing. To facilitate transcriptome study in rhesus macaque, and provide an evolutionary context to understand human biology, we performed 90bp × 2, paired-end, strand-specific, polyA-postive RNA-Seq in 10 tissues of the same macaque animals. The data were deposited under accession number GSE42857 and GSE34426. Overall design: 5 tissue samples examined: prefrontal cortex, liver, skeletal muscle, adipose, testis"	"SRA"	"total"	"GSE34426, PRJNA149557"	
"DRP003299"	"Gene expression of granulosa cells and oocytes in sus scrofa"	"Gene expression was examined in granulosa cells and oocytes in various stage of follicle and in vitro grown oocytes and granulosa cells complexes in sus scrofa."	"SRA"	"partial"	"PRJDB4551"	
"SRP105069"	"Deep Sequencing of brain Transcriptome Reveals difference in immune response between domesticated pigs and wild boars"	"Overall design: Brain mRNA profiles of wild boars and Rongchang pigs were generated by deep sequencing, in triplicate , using Illumina Hiseq2000 ."	"SRA"	"total"	"GSE98108, PRJNA384017"	
"SRP066797"	"Transcriptomic gene profiling of porcine muscle tissue depending on histological properties"	"Overall design: The muscle (longissimus lumborum) transcriptome sequencing was performed for 11 pigs using Illumina HiScan SQ in 50 single-end cycles and in five technical repetitions.The muscle (longissimus lumborum) transcriptome sequencing was performed for 11 pigs using Illumina HiScan SQ in 50 single-end cycles and in five technical repetitions"	"SRA"	"total"	"GSE75493, PRJNA304420"	
"SRP066398"	"Comparative transcriptomic analysis of skeletal muscle tissue during prenatal stages in Tongcheng and Yorkshire Pig using RNA-seq"	"The transition during myogenesis is accompanied by a multitude of changes in gene expression, and the transcriptional events that underlie these processes have not yet been fully elucidated. Tongcheng pigs (TC) and Yorkshire pigs (YK) represent Chinese local pigs and western pigs, respectively. To investigate the genes involved in regulating different periods of skeletal muscle development between TC and YK, we herein performed a comprehensive research of porcine transcriptome from longissimus muscle during 5 skeletal muscle developmental stages, including 40, 55, 63, 70, 90 dpc (days post coitum) using RNA-seq technology."	"SRA"	"total"	"PRJNA302693"	
"ERP001954"	"Muscle RNA-seq expression variation"	"Muscle RNA-seq of 89 porcine individuals from a single founder family"	"SRA"	"total"	"PRJEB3377"	
"ERP002055"	"Transcriptome Profiling of Ten Porcine Tissues at the Gene, Isoform and TSS level"	"In this study we have employed RNA seq on ten different tissues including four brain tissues from two boars to gain a understanding of the differential variations in transcriptional profiles for these tissues consisting of occipital cortex, frontal cortex, hypothalamus and cerebellum along with such diverse tissues as heart, spleen, liver, kidney, lung and musculus longissimus dorsi. This has enabled us to perform comparative gene expression analysis of brain regions versus non-brain tissues along with inter-brain tissue comparisons. Hence, we have tested for differentially expressed genes and isoforms, differential splicing, transcription start sites (TSS), and differential promoter usage between all ten porcine tissues."	"SRA"	"total"	"PRJEB1213, E-MTAB-1405"	
"SRP071940"	"Effects of diets differing in energy and protein content on the adipose tissue transcriptome of Norwegian Red Heifers"	"Overall design: The heifers were allocated to 4 experimental treatment groups at 3 months of age; Low-protein/high-energy, high-protein/high-energy, low-protein/low-energy and high-protein/low-energy. The heifers belonged to two different genetic groups, one bred for high milk yield and one bred for low occurence of clinical mastitis. The treatment groups were balanced in this regard. 24 samples were collected at 12 months of age, during the experimental feeding period. There were 6 replicates per treatment group. Transition to a joint pregnancy diet for all animals was performed immediately after confirmed pregnancy (day 28-42 of gestation). New samples were collected from the same animals at month 7 of gestation (20-24 months of age), to give a total of 48 sequenced RNA samples."	"SRA"	"total"	"GSE79347, PRJNA315560"	
"SRP092904"	"Muscle Transcriptome 80 Steers"	"RNA sequencing (RNA-Seq) was performed on longissimus dorsi muscle from 80 steers (5 cohorts, each with 16 animals) with variable gain and feed intake phenotypes."	"SRA"	"total"	"PRJNA351869"	
"SRP104670"	"Diurnal liver transcriptome in wt and nono-/- mice"	"Overall design: Livers were collected at 12 different time points during a 24h day (ZT0-ZT22). For each liver sample, total and nuclear RNA were extracted for a total of 48 samples. Each sample is a pool of 2 mice."	"SRA"	"partial"	"GSE98041, PRJNA383793"	"circadian"
"SRP114436"	"Hepatic transcriptome by Next Generation Sequencing of WT and clock mutant mice fed a HFD ad libitum or time-restricted feeding."	"Overall design: Circadian time course of liver mRNA profile of WT, Bmal1-liverKO, Rev-erba/ß-liverdoubleKO, Cry1Cry2 double KO after 12 weeks of high fat diet feeding ad libitum or time-restricted feeding"	"SRA"	"partial"	"GSE102072, PRJNA396551"	"circadian"
"SRP067841"	"Ictalurus punctatus Raw sequence reads"	"Gonad RNA-seq reads from 90, 100, and 110 days post fertilization"	"SRA"	"total"	"PRJNA307067"	
"SRP040114"	"Esox lucius isolate:CL-BC-CA-002 Genome sequencing"	"The pike (Esox lucius) is a northern hemisphere, circumpolar, fresh water species that is typically the top predator in many lakes. It is an important northern recreational fishery. Pike are morphologically diverse and highly adaptable. Despite their wide distribution, pike populations have low levels of polymorphism and divergence, indicative of a recent common ancestor. Pike often function as sentinel species to monitor pollutants in northern waters. Mitochondrial studies have shown that Escosiformes is the closest living order to Salmoniformes. Esociformes, an old lineage with fossils dating back to 70MYA, contains 10 species (pike, muskellunge and mudminnows) of which most literature concerns pike. The genome size for pike is 1.1pg and its karyotype is 2N=50 NF=50, similar to ancestral karyotypes of many teleosts (2N=48-50, FN=48-50). This compares to the much larger Atlantic salmon karyotype of 2N=56-60, NF=74 and genome size =3.1pg. Recent studies are consistent with the pike having a pre-WGD genome and being much closer to salmon than other fish species (zebrafish, medaka, fugu or stickleback)."	"SRA"	"partial"	"PRJNA221548, GSE56679"	
"SRP045141"	"Esox lucius Transcriptome"	"Transcriptome analysis of 11 Northern pike tissues"	"SRA"	"total"	"PRJNA256965"	
"SRP056073"	"Gadus morhua Transcriptome or Gene expression"	"RNASeq samples of several developmental stages of Atlantic cod (Gadus morhua) larvae, that were fed either a standard commercial diet of rotifers or a natural zooplankton diet that consisted primarily of copepods from first feeding."	"SRA"	"total"	"PRJNA277848"	
"ERP013973"	"RNA sequencing of the spleen / headkindey of 6 juvenile Atlantic cod (Gadus morhua) individuals."	"Total RNA was isolated from the head kidney/spleen of six healthy juvenile Atlantic cod. These fish originate from the Norwegian cod breeding program and were grown out in in seawater of 3. 4 % salinity at 10 ºC, 24 hour light and fed ad libitum with commercial feed at the Aquaculture Research Station (Tromsø, Norway). The fish were reported to be healthy without any history of diseases and the use of these fish was approved by the National Animal Research authority in Norway (FOTS id 1147). The tissue was stored on RNAlater (Life Technologies) and total RNA was isolated using Trizol (Life Technologies) according to protocol but using half the amount of tissue per volume Trizol recommended by the manufacturer. Sequencing libraries were produced according to the IlluminaTruSeq protocol (Illumina, Inc., San Diego, CA). Illumina HiSeq2000 100 bp paired-end sequencing services were provided by the Norwegian Sequencing Centre (http://www. sequencing.uio. no)."	"SRA"	"total"	"PRJEB12487"	
"SRP058865"	"Gadus morhua Transcriptome"	"Transcriptome analysis of 11 Atlantic cod samples"	"SRA"	"total"	"PRJNA256972"	
"SRP072263"	"Hippocampus Genome sequencing and assembly"	"To understand the genetic bases of seahorse specialized morphology, we have sequenced the genome of a seahorse."	"SRA"	"partial"	"PRJNA314292 (there are 2 rna-seq from hippocampus comes annotated from this study, even if title of the study is 'genome')"	
"SRP036185"	"Poecilia latipinna strain:wild Transcriptome or Gene expression"	"Gene expression data for the study of phenotypic and genomic plasticity of alternative male reproductive tactics in sailfin mollies"	"SRA"	"total"	"PRJNA237193"	
"SRP070191"	"Poecilia latipinna whole brain raw sequence reads"	"Adult males of different sizes were tested for behavior in different social groups; we examined effects of genetically-determined male size and social treatment on brain gene expression"	"SRA"	"total"	"PRJNA311756"	
"SRP106539"	"Gonadal transcriptome of the Amazon molly and its parental species"	"Comparative transcriptomics of the gonads of the Amazon molly and its parental species, Poecilia mexicana and Poecilia latipinna"	"SRA"	"total"	"PRJNA385580"	
"SRP005402"	"Sequencing and characterization of the guppy (Poecilia reticulata) transcriptome"	"Studies on the guppy (Poecilia reticulata) have advanced our general understanding of ecology and evolutionary biology but progress in that understanding has been hampered by a lack of genetic and genomic tools. Next-generation sequencing tools are providing researchers with a relatively fast and affordable option to develop genomic tools. Here we present a de novo assembly of the guppy transcriptome using 454 sequence reads. We also evaluate some of the uses of the transcriptome, including a pilot study in gene expression differences using Illumina short sequence reads."	"SRA"	"total"		"Guppy transcriptome"
"SRP126780"	"Poecilia reticulata Transcriptome or Gene expression"	"Examine gene expression between colored and clear tailed males at multiple sites"	"SRA"	"total"	"PRJNA420996"	
"SRP114275"	"Poecilia reticulata Transcriptome or Gene expression"	"Examine differences in gene expression between predation regimes"	"SRA"	"total"	"PRJNA396055"	
"SRP108073"	"Poecilia reticulata Raw sequence reads"	"Examine the genetic trajectory of tail color expression in male guppies across three developmental stages."	"SRA"	"total"	"PRJNA384620"	
"SRP111128"	"Poecilia reticulata Transcriptome or Gene expression"	"Examine differences in gene expression between males and females"	"SRA"	"total"	"PRJNA389723"	
"SRP104162"	"Labrus bergylta cultivar:Commercial farm Raw sequence reads"	"Transcriptome sequencing of whole intestinal samples from juvenile ballan wrasse (labrus bergylta) was conducted using the illumina HighSeq2500 platform. Ballan wrasse intestines were sampled at different time points after feeding."	"SRA"	"total"	"PRJNA382082"	
"SRP096123"	"Sequencing of the stomach-less ballan wrasse (Labrus berggylta) genome and transcriptomic characterization of the intestine"	"Overall design: Six ballan wrasse (Labrus bergylta) were collected from a commercial fish farm. Four segments of the intestine from the anterior to the posterior part was sampled from each fish. RNA from each segment were sequenced seperatly and analyzed."	"SRA"	"total"	"PRJNA360275, GSE93191"	
"SRP096540"	"Labrus bergylta cultivar:Commercial farm Assembly"	"A de novo brain and intestine transcriptome was made to aid annotation of the ballan wrasse (Labrus bergylta) genome."	"SRA"	"total"	"PRJNA360667"	
"DRP003761"	"Greater amberjack (Seriola dumerili) EST analysis"	"Greater amberjack (Seriola dumerili) is widely distributed in tropical and temperate waters of whole world and important aquaculture fish. For functional gene identification for biological traits and breeding amberjack by marker-assisted selection (MAS) or gene-assisted selection (GAS), we carried out comprehensive transcriptome analysis of greater amberjack using next-sequencing technology to detect SNPs in expression sequences. We mixed twelve tissues (muscle, brain, eye, heart, liver, intestine, kidney, spleen, gonad, gill, fin and bladder) extracted total RNA from these tissues, synthesized cDNA from total RNA by N6 randomized primer. Normalization was carried out by one cycle of denaturation and re-association of the cDNA."	"SRA"	"total"	"PRJDB5896"	"FISHRA"
"SRP105319"	"Seriola dumerili raw sequencing reads"	"The present work provides first insights to the genome of an important new aquaculture fish species, the Greater Amberjack (Seriola dumerlii). The aim was to generate valuable molecular resources for the Greater Amberjack in form of a first draft genome as well as gonad and muscle reference transcriptomes. Further differential expression analysis provided first insights of the molecular mechanism underlying sex differences as well as differences between fast and slow growers."	"SRA"	"partial"	"PRJNA384295 (there are 16 rna-seq annotated from this study, even if  the study is 'genome'); for some obscur reason, Aurélie's script only reported the MiSeq libraries, and not the HiSeq 2500, but I annotated both"	
"SRP062657"	"Anabas testudineus Transcriptome or Gene expression"	"Differential transcriptomic analyses of the gills of Anabas testudineus"	"SRA"	"total"	"PRJNA292738"	
"#SRP045760"	"Cynoglossus semilaevis Genome sequencing"	"The existance of male and females individuals, often strikingly different in morphology, reproductive strategies and behaviour, is one of the most widespread phenomena in biology. However, the genetic mechanisms used to generate this ubiquitous pattern are surprisingly diverse and do not at all follow a phylogenetic pattern. The tongue sole fish was selected to explain sex determination and sex chromosome evolution by whole genome sequence, because it offers the advantage of a relatively small genome and good karyological data with special ZW system and genomic resources as well as a molecular marker genetic map existed."	"SRA"	"partial"	"PRJNA73987; commented due to inconsistency about platform used and samples, see comments in the annotation file"	
"SRP050607"	"RNA-seq analysis reveals significant transcriptome changes in turbot (Scophthalmus maximus) suffering severe enteromyxosis"	"Background: Enteromyxosis caused by the intestinal myxozoan parasite Enteromyxum scophthalmi is a serious threat for turbot (Scophthalmus maximus, L.) aquaculture, causing severe catarrhal enteritis leading to a cachectic syndrome, with no therapeutic options available. There are still many aspects of host-parasite interaction and disease pathogenesis that are yet to be elucidated, and to date, no analysis of the transcriptomic changes induced by E. scophthalmi in turbot organs has been conducted. In this study, RNA-seq technology was applied to head kidney, spleen and pyloric caeca of severely infected turbot with the aim of furthering our understanding of the pathogenetic mechanisms and turbot immune response against enteromyxosis. Results: A huge amount of information was generated with more than 23,000 identified genes in the three organs, amongst which 4,762 were differently expressed (DE) between infected and control fish. Associate gene functions were studied based on gene ontology terms and available literature, and the most interesting DE genes were classified into five categories: 1) immune and defence response; 2) apoptosis and cell proliferation; 3) iron metabolism and erythropoiesis; 4) cytoskeleton and extracellular matrix and 5) metabolism and digestive function. The analysis of down-regulated genes of the first category revealed evidences of a connexion failure between innate and adaptive immune response, especially represented by a high number of DE interferon-related genes in the three organs. Furthermore, we found an intense activation of local immune response at intestinal level that appeared exacerbated, whereas in kidney and spleen genes involved in adaptive immune response were mainly down-regulated. The apoptotic machinery was only clearly activated in pyloric caeca, while kidney and spleen showed a marked depression of genes related to erythropoiesis, probably related to disorders in iron homeostasis. The genetic signature of the causes and consequences of cachexia was also demonstrated by the down-regulation of the genes encoding structural proteins and those involved in the digestive metabolism. Conclusions: This transcriptomic study has enabled us to gain a better understanding of the pathogenesis of enteromyxosis and identify a large number of DE target genes that bring us closer to the development of strategies designed to effectively combat this pathogen. Overall design: Four samples per organ (kidney, spleen and pyloric caeca) were sequenced by Illumina HiSeq 2000 as 100bp paired-end reads. For each organ, three samples were taken from Enteromyxum severely infected turbot and the remaining one was a pool of three control turbot."	"SRA"	"partial"	"GSE63911, PRJNA269386"	"NA"
"SRP065375"	"Gene expression of turbot with enteromyxosis"	"Gene expression of turbot infected by Enteromyxum scophthalmi was assesed at 24 days post inoculation in head kidney, spleen and pyloric caeca"	"SRA"	"partial"	"PRJNA300347"	
"SRP075669"	"Turbot fast- and slow-growth RNA-seq"	"The goal of this study was to compare the gene expression in muscle and brain between fast-growing and slow-growing turbot"	"SRA"	"total"	"PRJNA322741"	"NA"
"SRP092503"	"trancriptomic analyses of the turbot Scophthalmus maximus"	"The goal of this study is to figure out what potential stressing effects would happen in the immunostimulated turbot when facing stressful high temperature, based on the information of differentially expressed genes high and low temperature"	"SRA"	"partial"	"PRJNA352308"	
"SRP058798"	"Scophthalmus maximus muscle and liver raw sequence reads"	"Turbot (Scophthalmus maximus) muscle and liver RNA-seq raw reads."	"SRA"	"total"	"PRJNA285140"	
"SRP067460"	"Pygocentrus nattereri isolate:Pna-1 Genome sequencing and assembly"	"The red or red-bellied piranha (Pygocentrus nattereri) is a species of fish in the subfamily Serrasalminae, which is distributed widely throughout neotropical freshwater rivers of South America, including the Amazon basin, coastal rivers of northeastern Brazil, and the Paraguay and Parana basins. Through media influence, the red piranha has developed a reputation as a ferocious predator, despite being mostly an omnivorous forager, feeding on plants, insects, worms, crustaceans and fish. Only rarely will it exhibit 'feeding frenzy' attacks on large prey. In the wild red piranha exhibit social behavior and swim in schools, usually of 20 to 30 fish."	"SRA"	"partial"	"PRJNA301891"	
"ERP016820"	"Lake_Malawi_cichlid_RNA_sequencing"	"Total RNA sequencing of muscle and liver tissue in triplecates from different species of Lake Malawi cichlid fish, and total RNA sequencing of multiple tissue from Astatotilapia calliptera (Massoko yellow), brain, muscle, spleen, liver, gonad/testis, eye (whole eye ball), skin, anal fin and fry. This data is part of a pre-publication release. For information on the proper use of pre-publication data shared by the Wellcome Trust Sanger Institute (including details of any publication moratoria), please see http://www.sanger.ac.uk/datasharing/"	"SRA"	"partial"	"PRJEB15117"	
"SRP009484"	"Neolamprologus brichardi Transcriptome or Gene expression"	"Neolamprologus brichardi RNA sequencing from multiple tissues."	"SRA"	"partial"	"PRJNA77747"	
"SRP123447"	"Functional genomic and transcriptomic analysis of amphioxus and the origin of vertebrate genomic traits [RNA-Seq]"	"Overall design: RNA-seq assays in different developmental stages of european amphioxus, zebrafish and medaka"	"SRA"	"total"	"GSE106430"	
"ERP012910"	"Transcriptome sequencing of three tissues and ten taxa related to the house mouse Mus musculus."	"We sampled brain, liver and testis from populations, subspecies and species closely related to Mus musculus, spanning approximately between 3000 years and 10 million years of divergence."	"SRA"	"partial"	"PRJEB11513"	
"SRP053164"	"Oryctolagus cuniculus Transcriptome or Gene expression"	"Transcriptome of rabbit models with hypercholesterolemia and atherosclerosis"	"SRA"	"partial"	"PRJNA274427"	
"SRP121212"	"A quantitative model for characterizing the evolutionary history of mammalian gene expression"	"Overall design: RNA-sequencing of 7 tissues (brain, heart, kidney, liver, lung, skeletal muscle, testis) from rabbit, dog, ferret, cow, armadillo, and opposum"	"SRA"	"total"	"GSE106077"	
"SRP013027"	"GSE37909: RNA-seq from ENCODE/Caltech (Mouse)"	"Overall Design: Cells were grown according to the approved ENCODE cell culture protocols (http://hgwdev.cse.ucsc.edu/ENCODE/protocols/cell/mouse). Cells were lysed in RLT buffer (Qiagen RNEasy kit), and processed on RNEasy midi columns according to the manufacturer's protocol, with the inclusion of the *on-column* DNAse digestion step to remove residual genomic DNA. A quantity of 75 µgs of total RNA was selected twice with oligo-dT beads (Dynal) according to the manufacturer's protocol to isolate mRNA from each of the preparations. A quantity of 100 ngs of mRNA was then processed according to the protocol in Mortazavi et al. (2008), and prepared for sequencing on the Illumina GAIIx or HiSeq platforms according to the protocol for the ChIP-Seq DNA genomic DNA kit (Illumina). Paired-end libraries were size-selected around 200 bp (fragment length). Libraries were sequenced with the Illumina HiSeq according to the manufacturer's recommendations. Paired-end reads of 100 bp length were obtained.Reads were mapped to the reference mouse genome (version mm9 with or without the Y chromosome, depending on the sex of the cell line, and without the random chromosomes in all cases) using TopHat (version 1.3.1) (http://tophat.cbcb.umd.edu/). TopHat was used with default settings with the exception of specifying an empirically determined mean inner-mate distance and supplying known ENSEMBL version 63 splice junctions."	"SRA"	"partial"	"GSE37909 (selection of only 'health_state=healthy' from SRP013027)"	"mouse ENCODE"
"ERP105435"	"RNA-seq of liver from pigs divergent in feed efficiency highlights shifts in macronutrients metabolism, hepatic growth and immune response"	"Liver is a metabolically complex organ that influences nutrient partitioning and potentially modulates the efficiency of converting energy acquired from macronutrients ingestion into a muscle and/or adipose tissue (referred to as feed efficiency, FE). The objective of this study was to sequence the hepatic tissue transcriptome of pigs divergent for FE and identify relevant biological processes that underpin the differences in liver phenotypes and FE."	"SRA"	"total"	"PRJEB23668, E-MTAB-6256"	
