Uberon ID	Uberon name	is_a/part_of relations	Reason for removal
HBA:4592	HBA_4592		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:4594	HBA_4594		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:4600	HBA_4600		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:4633	HBA_4633		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:4634	HBA_4634		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:4665	HBA_4665		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:4672	HBA_4672		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:4673	HBA_4673		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:4675	HBA_4675		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:4676	HBA_4676		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:4677	HBA_4677		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:4678	HBA_4678		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:4696	HBA_4696		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:4697	HBA_4697		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:4698	HBA_4698		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:4699	HBA_4699		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:4704	HBA_4704		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:4706	HBA_4706		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:4707	HBA_4707		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:4708	HBA_4708		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:4713	HBA_4713		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:4717	HBA_4717		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:4718	HBA_4718		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:4719	HBA_4719		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:4720	HBA_4720		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:4722	HBA_4722		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:4728	HBA_4728		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:4730	HBA_4730		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:4780	HBA_4780		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:4833	HBA_4833		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:4888	HBA_4888		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:4897	HBA_4897		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:4900	HBA_4900		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9001	HBA_9001		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9002	HBA_9002		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9003	HBA_9003		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9012	HBA_9012		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9015	HBA_9015		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9018	HBA_9018		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9020	HBA_9020		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9021	HBA_9021		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9022	HBA_9022		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9027	HBA_9027		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9030	HBA_9030		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9032	HBA_9032		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9033	HBA_9033		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9034	HBA_9034		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9035	HBA_9035		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9036	HBA_9036		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9037	HBA_9037		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9038	HBA_9038		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9047	HBA_9047		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9050	HBA_9050		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9053	HBA_9053		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9055	HBA_9055		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9056	HBA_9056		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9060	HBA_9060		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9063	HBA_9063		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9066	HBA_9066		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9069	HBA_9069		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9072	HBA_9072		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9074	HBA_9074		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9075	HBA_9075		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9079	HBA_9079		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9080	HBA_9080		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9083	HBA_9083		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9086	HBA_9086		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9089	HBA_9089		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9092	HBA_9092		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9101	HBA_9101		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9102	HBA_9102		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9104	HBA_9104		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9105	HBA_9105		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9106	HBA_9106		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9111	HBA_9111		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9114	HBA_9114		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9116	HBA_9116		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9117	HBA_9117		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9118	HBA_9118		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9119	HBA_9119		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9120	HBA_9120		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9121	HBA_9121		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9122	HBA_9122		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9131	HBA_9131		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9132	HBA_9132		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9133	HBA_9133		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9135	HBA_9135		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9136	HBA_9136		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9139	HBA_9139		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9142	HBA_9142		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9145	HBA_9145		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9148	HBA_9148		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9153	HBA_9153		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9154	HBA_9154		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9159	HBA_9159		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9161	HBA_9161		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9162	HBA_9162		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9166	HBA_9166		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9167	HBA_9167		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9177	HBA_9177		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9179	HBA_9179		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9180	HBA_9180		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9181	HBA_9181		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9182	HBA_9182		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9183	HBA_9183		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9184	HBA_9184		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9185	HBA_9185		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9194	HBA_9194		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9197	HBA_9197		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9200	HBA_9200		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9203	HBA_9203		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9205	HBA_9205		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9206	HBA_9206		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9207	HBA_9207		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9218	HBA_9218		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9219	HBA_9219		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9220	HBA_9220		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9221	HBA_9221		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9222	HBA_9222		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9223	HBA_9223		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9224	HBA_9224		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9225	HBA_9225		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9226	HBA_9226		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9227	HBA_9227		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9228	HBA_9228		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9229	HBA_9229		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9230	HBA_9230		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9231	HBA_9231		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9234	HBA_9234		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9237	HBA_9237		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9240	HBA_9240		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9243	HBA_9243		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9246	HBA_9246		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9249	HBA_9249		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9251	HBA_9251		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9252	HBA_9252		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9253	HBA_9253		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9254	HBA_9254		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9260	HBA_9260		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9263	HBA_9263		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9266	HBA_9266		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9269	HBA_9269		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9275	HBA_9275		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9278	HBA_9278		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9281	HBA_9281		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9284	HBA_9284		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9287	HBA_9287		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9288	HBA_9288		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9291	HBA_9291		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9294	HBA_9294		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9297	HBA_9297		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9298	HBA_9298		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9299	HBA_9299		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9300	HBA_9300		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9302	HBA_9302		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9303	HBA_9303		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9307	HBA_9307		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9309	HBA_9309		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9310	HBA_9310		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9311	HBA_9311		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9316	HBA_9316		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9319	HBA_9319		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9322	HBA_9322		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9325	HBA_9325		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9328	HBA_9328		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9331	HBA_9331		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9334	HBA_9334		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9337	HBA_9337		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9340	HBA_9340		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9343	HBA_9343		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9348	HBA_9348		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9351	HBA_9351		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9352	HBA_9352		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9354	HBA_9354		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9355	HBA_9355		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9356	HBA_9356		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9357	HBA_9357		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9358	HBA_9358		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9359	HBA_9359		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9360	HBA_9360		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9361	HBA_9361		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9362	HBA_9362		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9363	HBA_9363		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9364	HBA_9364		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9365	HBA_9365		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9366	HBA_9366		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9367	HBA_9367		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9369	HBA_9369		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9370	HBA_9370		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9371	HBA_9371		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9372	HBA_9372		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9376	HBA_9376		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9377	HBA_9377		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9378	HBA_9378		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9379	HBA_9379		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9380	HBA_9380		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9383	HBA_9383		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9384	HBA_9384		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9385	HBA_9385		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9386	HBA_9386		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9387	HBA_9387		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9388	HBA_9388		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9389	HBA_9389		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9390	HBA_9390		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9391	HBA_9391		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9392	HBA_9392		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9393	HBA_9393		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9394	HBA_9394		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9397	HBA_9397		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9398	HBA_9398		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9399	HBA_9399		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9401	HBA_9401		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9402	HBA_9402		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9403	HBA_9403		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9404	HBA_9404		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9406	HBA_9406		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9407	HBA_9407		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9408	HBA_9408		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9409	HBA_9409		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9410	HBA_9410		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9411	HBA_9411		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9412	HBA_9412		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9413	HBA_9413		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9416	HBA_9416		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9417	HBA_9417		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9418	HBA_9418		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9419	HBA_9419		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9420	HBA_9420		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9421	HBA_9421		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9422	HBA_9422		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9449	HBA_9449		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9455	HBA_9455		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9457	HBA_9457		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9470	HBA_9470		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9471	HBA_9471		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9472	HBA_9472		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9473	HBA_9473		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9474	HBA_9474		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9483	HBA_9483		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9486	HBA_9486		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9489	HBA_9489		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9512	HBA_9512		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9513	HBA_9513		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9516	HBA_9516		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9519	HBA_9519		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9522	HBA_9522		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9525	HBA_9525		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9528	HBA_9528		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9530	HBA_9530		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9531	HBA_9531		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9532	HBA_9532		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9533	HBA_9533		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9542	HBA_9542		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9545	HBA_9545		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9548	HBA_9548		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9551	HBA_9551		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9554	HBA_9554		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9557	HBA_9557		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9560	HBA_9560		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9562	HBA_9562		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9563	HBA_9563		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9564	HBA_9564		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9569	HBA_9569		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9572	HBA_9572		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9578	HBA_9578		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9581	HBA_9581		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9584	HBA_9584		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9587	HBA_9587		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9588	HBA_9588		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9597	HBA_9597		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9600	HBA_9600		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9601	HBA_9601		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9602	HBA_9602		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9611	HBA_9611		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9613	HBA_9613		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9616	HBA_9616		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9624	HBA_9624		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9627	HBA_9627		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9630	HBA_9630		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9633	HBA_9633		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9636	HBA_9636		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9639	HBA_9639		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9642	HBA_9642		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9643	HBA_9643		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9646	HBA_9646		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9649	HBA_9649		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9650	HBA_9650		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9653	HBA_9653		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9661	HBA_9661		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9664	HBA_9664		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9676	HBA_9676		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9678	HBA_9678		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9679	HBA_9679		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9694	HBA_9694		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9697	HBA_9697		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9699	HBA_9699		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
HBA:9700	HBA_9700		Filtering of subgraph with root IDs: [UBERON:0000465, GO:0005575]
